source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights
Misc4,Student24,directed,user_graph,2,0,0,0,2
Student3,Student24,directed,user_graph,2,0,0,0,2
Student13,Student43,directed,user_graph,2,0,0,0,2
Student6,Student43,directed,user_graph,2,0,0,0,2
Student34,Student60,directed,user_graph,2,0,0,0,2
Student80,Student60,directed,user_graph,2,0,0,0,2
Teacher5,Student13,directed,user_graph,2,0,0,0,2
Student58,Student13,directed,user_graph,2,0,0,0,2
Student35,Student13,directed,user_graph,2,0,0,0,2
Teacher5,Student13,directed,user_graph,2,0,0,0,2
Student2,Student34,directed,user_graph,2,0,0,0,2
Student46,Student34,directed,user_graph,2,0,0,0,2
Student34,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student100,Teacher7,directed,user_graph,2,0,0,0,2
Teacher7,Teacher7,directed,user_graph,2,0,0,0,2
Student71,Student34,directed,user_graph,2,0,0,0,2
Student33,Student34,directed,user_graph,2,0,0,0,2
Student88,Student60,directed,user_graph,2,0,0,0,2
Student100,Student60,directed,user_graph,2,0,0,0,2
idfybvjfkFB,Teacher1,directed,user_graph,2,0,0,0,2
Teacher1,Teacher1,directed,user_graph,2,0,0,0,2
Student55,Student55,directed,user_graph,2,0,0,0,2
Student74,Student55,directed,user_graph,2,0,0,0,2
Student33,Student72,directed,user_graph,2,0,0,0,2
Student38,Student72,directed,user_graph,2,0,0,0,2
Student22,Student55,directed,user_graph,2,0,0,0,2
Student73,Student55,directed,user_graph,2,0,0,0,2
Student40,Student63,directed,user_graph,2,0,0,0,2
Student33,Student63,directed,user_graph,2,0,0,0,2
Student40,Student99,directed,user_graph,2,0,0,0,2
Student32,Student99,directed,user_graph,2,0,0,0,2
Student56,Student56,directed,user_graph,2,0,0,0,2
Student55,Student56,directed,user_graph,2,0,0,0,2
Teacher5,Student34,directed,user_graph,2,0,0,0,2
Student91,Student34,directed,user_graph,2,0,0,0,2
Student17,Student44,directed,user_graph,2,0,0,0,2
Student68,Student43,directed,user_graph,2,0,0,0,2
Teacher2,Student43,directed,user_graph,2,0,0,0,2
Student44,Teacher7,directed,user_graph,2,0,0,0,2
Student11,Teacher7,directed,user_graph,2,0,0,0,2
Teacher2,Student6,directed,user_graph,2,0,0,0,2
Student6,Student6,directed,user_graph,2,0,0,0,2
Student77,Student68,directed,user_graph,2,0,0,0,2
Teacher3,Student68,directed,user_graph,2,0,0,0,2
Student98,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student70,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student75,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student14,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student92,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student63,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student80,Teacher2,directed,user_graph,2,0,0,0,2
Student80,Teacher2,directed,user_graph,2,0,0,0,2
Student71,Student24,directed,user_graph,2,0,0,0,2
Student53,Student24,directed,user_graph,2,0,0,0,2
Student17,Student71,directed,user_graph,2,0,0,0,2
Student13,Student71,directed,user_graph,2,0,0,0,2
Student68,Student44,directed,user_graph,2,0,0,0,2
Student8,Student44,directed,user_graph,2,0,0,0,2
Student8,Student43,directed,user_graph,2,0,0,0,2
Student34,Student43,directed,user_graph,2,0,0,0,2
Student71,Teacher2,directed,user_graph,2,0,0,0,2
Student13,Teacher2,directed,user_graph,2,0,0,0,2
Student53,Teacher7,directed,user_graph,2,0,0,1,3
Teacher7,Teacher7,directed,user_graph,2,0,0,1,3
Teacher5,Teacher2,directed,user_graph,3,0,0,0,3
Student51,Teacher2,directed,user_graph,3,0,0,0,3
Teacher2,Teacher2,directed,user_graph,3,0,0,0,3
Teacher2,Student51,directed,user_graph,3,0,0,0,3
Student11,Student51,directed,user_graph,3,0,0,0,3
Student17,Student51,directed,user_graph,3,0,0,0,3
Student51,Student34,directed,user_graph,3,0,0,0,3
Student13,Student34,directed,user_graph,3,0,0,0,3
Student33,Student34,directed,user_graph,3,0,0,0,3
Student84,Student84,directed,user_graph,3,0,0,0,3
Teacher7,Teacher7,directed,user_graph,3,0,0,0,3
Teacher7,Teacher7,directed,user_graph,3,0,0,1,4
Teacher7,Teacher7,directed,user_graph,3,0,0,1,4
Student80,Student56,directed,user_graph,3,0,0,0,3
Student79,Student56,directed,user_graph,3,0,0,0,3
Student29,Student56,directed,user_graph,3,0,0,0,3
Student3,Student80,directed,user_graph,3,0,0,0,3
Student11,Student80,directed,user_graph,3,0,0,0,3
Student13,Student80,directed,user_graph,3,0,0,0,3
Teacher1,Teacher1,directed,user_graph,3,0,0,0,3
Teacher1,Teacher1,directed,user_graph,3,0,0,0,3
Student37,Teacher1,directed,user_graph,3,0,0,0,3
Student34,Student43,directed,user_graph,3,0,0,0,3
Student71,Student43,directed,user_graph,3,0,0,0,3
Student61,Student43,directed,user_graph,3,0,0,0,3
Student17,Student17,directed,user_graph,3,0,0,0,3
Student14,Student24,directed,user_graph,3,0,0,0,3
Student8,Student24,directed,user_graph,3,0,0,0,3
Student33,Student24,directed,user_graph,3,0,0,0,3
Teacher2,Student60,directed,user_graph,4,0,0,0,4
Student97,Student60,directed,user_graph,4,0,0,0,4
Student55,Student60,directed,user_graph,4,0,0,0,4
Student5,Student60,directed,user_graph,4,0,0,0,4
Student8,Student24,directed,user_graph,4,0,0,0,4
Student13,Student24,directed,user_graph,4,0,0,0,4
Teacher2,Student24,directed,user_graph,4,0,0,0,4
Student46,Student24,directed,user_graph,4,0,0,0,4
Student72,Teacher1,directed,user_graph,4,0,0,0,4
Student13,Teacher1,directed,user_graph,4,0,0,0,4
Student68,Teacher1,directed,user_graph,4,0,0,0,4
Student32,Teacher1,directed,user_graph,4,0,0,0,4
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4
Student6,Teacher2,directed,user_graph,4,0,0,0,4
Student55,Teacher2,directed,user_graph,4,0,0,0,4
Student34,Teacher2,directed,user_graph,4,0,0,0,4
Student46,Teacher2,directed,user_graph,4,0,0,0,4
Student53,Teacher7,directed,user_graph,4,0,0,0,4
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4
