Student ID,Student Name,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23]
Student36,Student36,1,1,1,1,1,1,1,1,1,1,2,1,0.565217391
Student66,Student66,1,2,2,1,2,2,2,1,2,2,1,2,0.869565217
Student53,Student53,1,1,2,1,2,2,2,1,1,2,2,2,0.826086957
Student18,Student18,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913
Student1,Student1,1,2,2,1,1,1,1,1,1,1,1,2,0.652173913
Student2,Student2,1,2,2,1,1,1,1,1,1,2,1,2,0.695652174
Student67,Student67,1,2,1,2,1,2,2,1,1,1,1,2,0.739130435
Student68,Student68,1,1,1,1,1,1,1,1,1,0,0,0,0.391304348
Student33,Student33,1,1,1,2,2,1,1,1,1,2,2,2,0.739130435
Student20,Student20,1,1,1,1,1,1,1,1,1,1,1,2,0.565217391
Student70,Student70,1,1,1,1,1,2,2,1,1,2,2,2,0.739130435
Student61,Student61,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913
Student63,Student63,1,1,1,2,1,1,1,1,1,,,,0.434782609
Student24,Student24,1,1,2,1,1,2,2,1,1,2,2,0,0.695652174
Student71,Student71,1,1,1,1,2,2,2,1,1,2,2,2,0.782608696
Student3,Student3,1,1,2,1,1,1,1,1,1,1,2,2,0.652173913
Student48,Student48,1,1,2,1,2,2,1,1,1,1,1,,0.608695652
Student72,Student72,1,2,1,1,0,1,1,1,2,2,,2,0.608695652
Student35,Student35,1,2,2,2,2,2,2,1,1,2,2,1,0.869565217
Student34,Student34,2,1,1,2,0,1,2,1,1,,,,0.47826087
Student65,Student65,2,1,2,1,1,2,2,1,2,,,,0.608695652
Student73,Student73,1,1,1,1,1,1,1,1,1,2,1,1,0.565217391
Student74,Student74,1,1,2,2,2,2,2,1,1,2,2,2,0.869565217
Student4,Student4,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913
Student75,Student75,1,1,2,2,1,2,2,1,1,2,1,1,0.739130435
Student19,Student19,1,2,1,1,1,1,2,1,1,1,1,2,0.652173913
Student76,Student76,1,2,2,2,2,2,2,2,2,2,1,1,0.913043478
Student77,Student77,1,1,2,1,1,1,1,2,2,2,2,2,0.782608696
Student78,Student78,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913
Student5,Student5,1,1,1,1,0,2,2,2,2,2,2,2,0.782608696
Student58,Student58,1,1,1,2,2,2,2,1,2,,,,0.608695652
Student6,Student6,2,2,2,1,1,1,1,1,1,1,1,2,0.695652174
Student43,Student43,1,1,2,1,1,1,2,1,1,1,2,1,0.652173913
Student79,Student79,1,1,2,1,1,1,1,1,2,1,1,2,0.652173913
Student25,Student25,1,1,2,2,1,1,2,1,1,1,2,2,0.739130435
Student80,Student80,2,2,2,2,2,2,2,1,2,2,2,1,0.956521739
Student81,Student81,2,2,1,2,2,2,2,1,1,1,1,1,0.782608696
Student60,Student60,1,2,1,1,1,1,1,1,2,,,,0.47826087
Student7,Student7,1,2,1,1,1,2,1,1,2,2,2,2,0.782608696
Student8,Student8,2,1,2,2,1,1,2,1,2,,,,0.608695652
Student9,Student9,2,1,2,2,2,2,2,1,2,2,2,2,0.956521739
Student56,Student56,1,1,2,1,0,1,1,1,1,,,,0.391304348
