User Name,Order of Submission (1=first),Final Score,Question 1 text,Question 2 text,Question 3 text,Question 4 text,Question 5 text,Question 6 text,Question 7 text,Question 8 text,Question 9 text,Question 10 text,Question 11 text,Question 12 text,Question 13 text,Question 14 text,Question 15 text,Question 16 text,Question 17 text,Question 18 text,Question 19 text,Question 20 text,Question 21 text,Question 22 text,Question 23 text,Question 24 text,Question 25 text,Question 26 text,Question 27 text,Question 28 text,Question 29 text,Question 30 text,Question 31 text,Question 32 text,Question 33 text,Question 34 text
User3,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User118,1,0,Somewhat confident,12 - 15 hours per week,All 26,Most of them,Multiple times daily,5 - A Little Too Fast,4 - About Right,6 - Agree,3 - Disagree Slightly,6 - Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,1 - Never,1 - Never,3 - Occasionally,2 - Rarely,3 - Occasionally,4 - Frequently,2 - Rarely,3 - Occasionally,4 - Frequently,2 - Rarely,Never,Rarely,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,6 - Very Good
User283,1,0,Very confident,3 - 6 hours per week,20 to 25,Most of them,Once per week,3 - A Little Too Slow,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,5 - Agree Slightly,6 - Agree,On Piazza,No Answer,4 - Frequently,3 - Occasionally,3 - Occasionally,3 - Occasionally,4 - Frequently,3 - Occasionally,4 - Frequently,3 - Occasionally,4 - Frequently,4 - Frequently,Rarely,Rarely,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,6 - Very Good
User119,1,0,Somewhat confident,18 - 21 hours per week,20 to 25,Most of them,Once per day,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,5 - Agree Slightly,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,2 - Rarely,2 - Rarely,2 - Rarely,2 - Rarely,2 - Rarely,3 - Occasionally,2 - Rarely,2 - Rarely,4 - Frequently,3 - Occasionally,Never,Rarely,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User314,1,0,Very confident,9 - 12 hours per week,All 26,All of them,Multiple times daily,5 - A Little Too Fast,3 - A Little Too Easy,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,On Piazza|Via HipChat,No Answer,1 - Never,1 - Never,2 - Rarely,1 - Never,4 - Frequently,1 - Never,4 - Frequently,1 - Never,4 - Frequently,3 - Occasionally,Rarely,Never,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,4 - About the Same as other college courses.,7 - Excellent
User14,1,0,Somewhat confident,6 - 9 hours per week,20 to 25,Most of them,Once per week,4 - About Right,4 - About Right,5 - Agree Slightly,6 - Agree,6 - Agree,6 - Agree,6 - Agree,2 - Disagree,On Piazza,No Answer,1 - Never,1 - Never,1 - Never,1 - Never,3 - Occasionally,1 - Never,5 - Always,1 - Never,4 - Frequently,5 - Always,Never,Never,N/A - I have not taken any other OMS classes.,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,N/A - I have not taken any other OMS classes.,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User121,1,0,Neither confident nor unconfident,18 - 21 hours per week,All 26,Most of them,A few times a week,7 - Way Too Fast,5 - A Little Too Hard,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,1 - Never,2 - Rarely,1 - Never,4 - Frequently,2 - Rarely,5 - Always,4 - Frequently,1 - Never,4 - Frequently,3 - Occasionally,Never,Rarely,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,7 - Enormously Better than other college courses.,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User284,1,0,Somewhat confident,12 - 15 hours per week,All 26,All of them,Once per week,4 - About Right,4 - About Right,5 - Agree Slightly,5 - Agree Slightly,3 - Disagree Slightly,7 - Strongly Agree,4 - Neither Agree nor Disagree,No Answer,On Piazza,No Answer,1 - Never,2 - Rarely,1 - Never,3 - Occasionally,4 - Frequently,2 - Rarely,2 - Rarely,1 - Never,3 - Occasionally,2 - Rarely,Rarely,Never,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User374,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User122,1,0,Somewhat confident,21 or more hours per week,All 26,A few of them,Multiple times daily,7 - Way Too Fast,6 - Too Hard,5 - Agree Slightly,3 - Disagree Slightly,3 - Disagree Slightly,6 - Agree,5 - Agree Slightly,2 - Disagree,On Piazza,No Answer,3 - Occasionally,3 - Occasionally,2 - Rarely,3 - Occasionally,4 - Frequently,4 - Frequently,2 - Rarely,3 - Occasionally,3 - Occasionally,2 - Rarely,Never,Rarely,5 - A Little Better than other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,5 - A Little Better than other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,5 - Good
