User Name,Order of Submission (1=first),Final Score,Question 1 text,Question 2 text,Question 3 text,Question 4 text,Question 5 text,Question 6 text,Question 7 text,Question 8 text,Question 9 text,Question 10 text,Question 11 text,Question 12 text,Question 13 text,Question 15 text,Question 16 text,Question 17 text,Question 18 text,Question 19 text,Question 20 text,Question 21 text
User3,1,0,CS6210: Advanced Operating Systems|CS6475: Computational Photography,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,No Answer,Somewhat unconfident,5 - A Little Too Fast,6 - Too Hard,6 - Agree,6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,2 - Disagree,2 - Disagree,On Piazza,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,5 - Good
User118,1,0,CS8803: AI for Robotics|CS7641: Machine Learning|CS6250: Computer NetworLast192|CS6475: Computational Photography,"My agent used verbal representations exclusively; however, I did experiment with the visual representations after Project 1's deadline (but my submitted agent does not use them).",Somewhat confident,Very confident,4 - About Right,4 - About Right,3 - Disagree Slightly,3 - Disagree Slightly,6 - Agree,4 - Neither Agree nor Disagree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,3 - Not Quite as Good as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,5 - Good
User283,1,0,CS6250: Computer NetworLast192|CS6310: Software Architecture and Design,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Very confident,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,On Piazza,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,6 - Significantly Better than other college courses.,5 - Good
User119,1,0,CS7641: Machine Learning,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Neither confident nor unconfident,Somewhat confident,4 - About Right,4 - About Right,6 - Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,6 - Significantly Better than other college courses.,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User314,1,0,CS7641: Machine Learning,"My agent used visual representations exclusively; however, I did experiment with the verbal representations after Project 1's deadline (but my submitted agent does not use them).",Somewhat confident,Somewhat confident,5 - A Little Too Fast,3 - A Little Too Easy,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza|Via HipChat,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User14,1,0,No Answer,"My agent used visual representations exclusively; however, I did experiment with the verbal representations after Project 1's deadline (but my submitted agent does not use them).",Very confident,Somewhat confident,4 - About Right,4 - About Right,6 - Agree,4 - Neither Agree nor Disagree,3 - Disagree Slightly,6 - Agree,5 - Agree Slightly,2 - Disagree,On Piazza|Via E-Mail,N/A - I have not taken any other OMS classes.,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,N/A - I have not taken any other OMS classes.,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User121,1,0,CS6250: Computer NetworLast192|CS8803: Introduction to Operating Systems,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Somewhat unconfident,5 - A Little Too Fast,5 - A Little Too Hard,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,On Piazza,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User284,1,0,CS8803: AI for Robotics|CS7641: Machine Learning,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Somewhat unconfident,4 - About Right,4 - About Right,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,5 - Agree Slightly,2 - Disagree,2 - Disagree,On Piazza,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - Good
User374,No submission,,,,,,,,,,,,,,,,,,,,,
User122,1,0,CS6300: Software Development Processes,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Neither confident nor unconfident,Somewhat unconfident,7 - Way Too Fast,6 - Too Hard,5 - Agree Slightly,2 - Disagree,2 - Disagree,6 - Agree,4 - Neither Agree nor Disagree,2 - Disagree,On Piazza,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,2 - Not as Good as other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,4 - Fair
User359,1,0,CS6300: Software Development Processes,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Somewhat confident,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,5 - Agree Slightly,6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,On Piazza|Other (please specify below),4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User355,1,0,CS6300: Software Development Processes|CS6310: Software Architecture and Design|CS6475: Computational Photography,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat unconfident,Very unconfident,5 - A Little Too Fast,4 - About Right,6 - Agree,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,5 - Agree Slightly,3 - Disagree Slightly,No Answer,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User123,1,0,CS8803: AI for Robotics|CS6475: Computational Photography,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very unconfident,Neither confident nor unconfident,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,7 - Strongly Agree,5 - Agree Slightly,7 - Strongly Agree,6 - Agree,5 - Agree Slightly,On Piazza,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,7 - Enormously Better than other college courses.,6 - Significantly Better than other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User125,1,0,"CS8803: AI for Robotics|CS7641: Machine Learning|CS6300: Software Development Processes|CS6250: Computer NetworLast192|CS6505: Computability, Complexity & Algorithms|CS6440: Health Informatics|CS6475: Computational Photography",My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Neither confident nor unconfident,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,6 - Agree,5 - Agree Slightly,On Piazza|Via E-Mail,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User285,1,0,CS8803: AI for Robotics,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Neither confident nor unconfident,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User126,1,0,CS7641: Machine Learning,"My agent primarily used verbal representations, although it also used the visual representations in some places.",Somewhat confident,Somewhat unconfident,5 - A Little Too Fast,4 - About Right,6 - Agree,6 - Agree,5 - Agree Slightly,6 - Agree,6 - Agree,5 - Agree Slightly,On Piazza,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
