User Name,Order of Submission (1=first),Part 1 Score,Part 2 Score,Part 3 Score,Final Score,Question 1 text,Question 2 text,Question 3 text,Question 4 text,Question 5 text,Question 6 text,Question 7 text,Question 8 text,Question 9 text,Question 13 text,Question 15 text,Question 16 text,Question 17 text,Question 18 text,Question 19 text,Question 20 text,Question 21 text,Question 22 text
User3,1,0,0,0,0,25 to 34,Male,1: United States,1: United States,1: Florida,1: English,Native speaker,"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South America and the Caribbean)",A weekday evening (starting between 5PM and 8PM).|A weekday night (starting between 9PM and 12AM).|A weekend evening (starting between 5PM and 8PM).|A weekend night (starting between 9PM and 12AM).,Computing (Hardware)|Computing (NetworLast192)|Computing (Software),Bachelors Degree,9-12 hours per week,Yes,C++,20+,2,0,10+
User118,1,0,0,0,0,18 to 24,Male,1: USA,1: USA,1: California,1: English,Native speaker,UTC -08:00 (Pacific Time Zone US & Canada),A weekday evening (starting between 5PM and 8PM).|A weekday night (starting between 9PM and 12AM).|A weekend afternoon (starting between 1PM and 4PM).|A weekend evening (starting between 5PM and 8PM).|A weekend night (starting between 9PM and 12AM).,Computing (Data & Data Analysis)|Computing (Hardware)|Engineering,Bachelors Degree,18-21 hours per week,Yes,Python,5-Mar,4,0,10+
User283,1,0,0,0,0,35 to 44,Male,1: India,1: USA,1: MA,1: Tamil,Native speaker,"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South America and the Caribbean)",A weekday evening (starting between 5PM and 8PM).|A weekend morning (starting between 9AM and 12PM).,Computing (Software),Bachelors Degree,3-6 hours per week,Yes,Java,15-Oct,2,0,0
User119,1,0,0,0,0,25 to 34,Male,1: Russia,1: USA,1: WA,1: Russian,Fully fluent (non-native speaker),UTC -08:00 (Pacific Time Zone US & Canada),A weekday morning (starting between 9AM and 12PM).|A weekend morning (starting between 9AM and 12PM).|A weekend afternoon (starting between 1PM and 4PM).,Research/Academia,Doctoral Degree,15-18 hours per week,Yes,Java,3-Jan,1,0,5-Mar
User314,1,0,0,0,0,25 to 34,Male,1: Bulgaria,1: USA,1: Texas,1: Bulgarian,Fully fluent (non-native speaker),"UTC -06:00 (Central Time Zone US & Canada, Eastern Mexico, Central America)",A weekday night (starting between 9PM and 12AM).|A weekend afternoon (starting between 1PM and 4PM).,Computing (Software),Bachelors Degree,12-15 hours per week,Yes,C++,10-May,1,0,3-Feb
User14,1,0,0,0,0,18 to 24,Male,1: United States,1: United States,1: Virginia,1: English,Native speaker,"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South America and the Caribbean)",A weekday morning (starting between 9AM and 12PM).|A weekday afternoon (starting between 1PM and 4PM).|A weekday evening (starting between 5PM and 8PM).|A weekend morning (starting between 9AM and 12PM).,Computing (Data & Data Analysis)|Computing (Hardware)|Computing (Software),Bachelors Degree,6-9 hours per week,Yes,Java,5-Mar,0,0,1
User121,1,0,0,0,0,45 to 54,Male,1: India,1: USA,1: CA,1: Tamil,Fully fluent (non-native speaker),UTC -08:00 (Pacific Time Zone US & Canada),A weekday morning (starting between 9AM and 12PM).,Computing (Other; Specify Below),Masters Degree,12-15 hours per week,Yes,C,15-Oct,2,0,0
User284,1,0,0,0,0,35 to 44,Male,1: USA,1: USA,1: CA,1: English,Native speaker,UTC -08:00 (Pacific Time Zone US & Canada),A weekend night (starting between 9PM and 12AM).,Computing (Software),Bachelors Degree,12-15 hours per week,Yes,C++,15-20,2,0,3-Feb
User374,1,0,0,0,0,18 to 24,Male,1: USA,1: USA,1: West Coast,1: English,Native speaker,UTC -08:00 (Pacific Time Zone US & Canada),A weekday night (starting between 9PM and 12AM).|A weekend morning (starting between 9AM and 12PM).,Computing (Mobile)|Computing (Software),Bachelors Degree,6-9 hours per week,Yes,Java,10-May,2,0,1
User122,1,0,0,0,0,25 to 34,Male,1: Pakistan,1: Pakistan,1: Punjab,1: Urdu,Partially fluent,"UTC +05:00 (Central Asia, India)",A weekday afternoon (starting between 1PM and 4PM).|A weekend morning (starting between 9AM and 12PM).|A weekend afternoon (starting between 1PM and 4PM).,Computing (Software),Bachelors Degree,3-6 hours per week,Yes,Java,3-Jan,1,0,5-Mar
User359,1,0,0,0,0,25 to 34,Male,1: United States,1: United States,1: New Jersey,1: English,Native speaker,"UTC -05:00 (Eastern Time Zone US & Canada, Western parts of South America and the Caribbean)",A weekday evening (starting between 5PM and 8PM).|A weekday night (starting between 9PM and 12AM).|A weekend morning (starting between 9AM and 12PM).,Computing (Software),Bachelors Degree,12-15 hours per week,Yes,Python,15-Oct,1,0,5-Mar
