Source,Target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
Misc4,Student24,directed,user_graph,2,0,0,0,2,Misc
Student3,Student24,directed,user_graph,2,0,0,0,2,Student
Student13,Student43,directed,user_graph,2,0,0,0,2,Student
Student6,Student43,directed,user_graph,2,0,0,0,2,Student
Student34,Student60,directed,user_graph,2,0,0,0,2,Student
Student80,Student60,directed,user_graph,2,0,0,0,2,Student
Teacher5,Student13,directed,user_graph,2,0,0,0,2,Teacher
Student58,Student13,directed,user_graph,2,0,0,0,2,Student
Student35,Student13,directed,user_graph,2,0,0,0,2,Student
Teacher5,Student13,directed,user_graph,2,0,0,0,2,Teacher
Student2,Student34,directed,user_graph,2,0,0,0,2,Student
Student46,Student34,directed,user_graph,2,0,0,0,2,Student
Student34,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student100,Teacher7,directed,user_graph,2,0,0,0,2,Student
Teacher7,Teacher7,directed,user_graph,2,0,0,0,2,Teacher
Student71,Student34,directed,user_graph,2,0,0,0,2,Student
Student33,Student34,directed,user_graph,2,0,0,0,2,Student
Student88,Student60,directed,user_graph,2,0,0,0,2,Student
Student100,Student60,directed,user_graph,2,0,0,0,2,Student
idfybvjfkFB,Teacher1,directed,user_graph,2,0,0,0,2,idfybvjfkFB
Teacher1,Teacher1,directed,user_graph,2,0,0,0,2,Teacher
Student55,Student55,directed,user_graph,2,0,0,0,2,Student
Student74,Student55,directed,user_graph,2,0,0,0,2,Student
Student33,Student72,directed,user_graph,2,0,0,0,2,Student
Student38,Student72,directed,user_graph,2,0,0,0,2,Student
Student22,Student55,directed,user_graph,2,0,0,0,2,Student
Student73,Student55,directed,user_graph,2,0,0,0,2,Student
Student40,Student63,directed,user_graph,2,0,0,0,2,Student
Student33,Student63,directed,user_graph,2,0,0,0,2,Student
Student40,Student99,directed,user_graph,2,0,0,0,2,Student
Student32,Student99,directed,user_graph,2,0,0,0,2,Student
Student56,Student56,directed,user_graph,2,0,0,0,2,Student
Student55,Student56,directed,user_graph,2,0,0,0,2,Student
Teacher5,Student34,directed,user_graph,2,0,0,0,2,Teacher
Student91,Student34,directed,user_graph,2,0,0,0,2,Student
Student17,Student44,directed,user_graph,2,0,0,0,2,Student
Student68,Student43,directed,user_graph,2,0,0,0,2,Student
Teacher2,Student43,directed,user_graph,2,0,0,0,2,Teacher
Student44,Teacher7,directed,user_graph,2,0,0,0,2,Student
Student11,Teacher7,directed,user_graph,2,0,0,0,2,Student
Teacher2,Student6,directed,user_graph,2,0,0,0,2,Teacher
Student6,Student6,directed,user_graph,2,0,0,0,2,Student
Student77,Student68,directed,user_graph,2,0,0,0,2,Student
Teacher3,Student68,directed,user_graph,2,0,0,0,2,Teacher
Student98,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student70,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student75,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student14,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student92,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student63,Teacher2,directed,user_graph,2,0,0,0,2,Student
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
Student80,Teacher2,directed,user_graph,2,0,0,0,2,Student
Student80,Teacher2,directed,user_graph,2,0,0,0,2,Student
Student71,Student24,directed,user_graph,2,0,0,0,2,Student
Student53,Student24,directed,user_graph,2,0,0,0,2,Student
Student17,Student71,directed,user_graph,2,0,0,0,2,Student
Student13,Student71,directed,user_graph,2,0,0,0,2,Student
Student68,Student44,directed,user_graph,2,0,0,0,2,Student
Student8,Student44,directed,user_graph,2,0,0,0,2,Student
Student8,Student43,directed,user_graph,2,0,0,0,2,Student
Student34,Student43,directed,user_graph,2,0,0,0,2,Student
Student71,Teacher2,directed,user_graph,2,0,0,0,2,Student
Student13,Teacher2,directed,user_graph,2,0,0,0,2,Student
Student53,Teacher7,directed,user_graph,2,0,0,1,3,Student
Teacher7,Teacher7,directed,user_graph,2,0,0,1,3,Teacher
Teacher5,Teacher2,directed,user_graph,3,0,0,0,3,Teacher
Student51,Teacher2,directed,user_graph,3,0,0,0,3,Student
Teacher2,Teacher2,directed,user_graph,3,0,0,0,3,Teacher
Teacher2,Student51,directed,user_graph,3,0,0,0,3,Teacher
Student11,Student51,directed,user_graph,3,0,0,0,3,Student
Student17,Student51,directed,user_graph,3,0,0,0,3,Student
Student51,Student34,directed,user_graph,3,0,0,0,3,Student
Student13,Student34,directed,user_graph,3,0,0,0,3,Student
Student33,Student34,directed,user_graph,3,0,0,0,3,Student
Student84,Student84,directed,user_graph,3,0,0,0,3,Student
Teacher7,Teacher7,directed,user_graph,3,0,0,0,3,Teacher
Teacher7,Teacher7,directed,user_graph,3,0,0,1,4,Teacher
Teacher7,Teacher7,directed,user_graph,3,0,0,1,4,Teacher
Student80,Student56,directed,user_graph,3,0,0,0,3,Student
Student79,Student56,directed,user_graph,3,0,0,0,3,Student
Student29,Student56,directed,user_graph,3,0,0,0,3,Student
Student3,Student80,directed,user_graph,3,0,0,0,3,Student
Student11,Student80,directed,user_graph,3,0,0,0,3,Student
Student13,Student80,directed,user_graph,3,0,0,0,3,Student
Teacher1,Teacher1,directed,user_graph,3,0,0,0,3,Teacher
Teacher1,Teacher1,directed,user_graph,3,0,0,0,3,Teacher
Student37,Teacher1,directed,user_graph,3,0,0,0,3,Student
Student34,Student43,directed,user_graph,3,0,0,0,3,Student
Student71,Student43,directed,user_graph,3,0,0,0,3,Student
Student61,Student43,directed,user_graph,3,0,0,0,3,Student
Student17,Student17,directed,user_graph,3,0,0,0,3,Student
Student14,Student24,directed,user_graph,3,0,0,0,3,Student
Student8,Student24,directed,user_graph,3,0,0,0,3,Student
Student33,Student24,directed,user_graph,3,0,0,0,3,Student
Teacher2,Student60,directed,user_graph,4,0,0,0,4,Teacher
Student97,Student60,directed,user_graph,4,0,0,0,4,Student
Student55,Student60,directed,user_graph,4,0,0,0,4,Student
Student5,Student60,directed,user_graph,4,0,0,0,4,Student
Student8,Student24,directed,user_graph,4,0,0,0,4,Student
Student13,Student24,directed,user_graph,4,0,0,0,4,Student
Teacher2,Student24,directed,user_graph,4,0,0,0,4,Teacher
Student46,Student24,directed,user_graph,4,0,0,0,4,Student
Student72,Teacher1,directed,user_graph,4,0,0,0,4,Student
