id,asks,answers,posts,views,days,type,Student ID,label,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade,grade_bucket,id,label,user_type,type_data
Student71,0,0,132,324,56,student,Student71,Student71,1,1,1,1,2,2,2,1,1,2,2,2,0.782608696,c,Student71,Student71,Student,user_graph
Student14,0,0,0,0,0,student,Student14,Student14,1,0,0,0,0,1,1,1,1,2,1,,0.347826087,d,Student14,Student14,Student,user_graph
Student14,0,2,25,71,29,student,Student14,Student14,1,0,0,0,0,1,1,1,1,2,1,,0.347826087,d,Student14,Student14,Student,user_graph
Student72,2,0,49,339,54,student,Student72,Student72,1,2,1,1,0,1,1,1,2,2,,2,0.608695652,d,Student72,Student72,Student,user_graph
Student83,2,0,73,322,71,student,Student83,Student83,1,1,1,2,1,1,2,1,1,1,1,1,0.608695652,d,Student83,Student83,Student,user_graph
Student13,4,0,202,156,49,student,Student13,Student13,2,2,2,2,1,2,2,1,2,,,,0.695652174,d,Student13,Student13,Student,user_graph
Teacher2,1,51,1126,542,71,teacher,,,,,,,,,,,,,,,,,Teacher2,Teacher2,Teacher,user_graph
Student55,5,1,215,209,59,student,Student55,Student55,2,2,2,1,1,2,2,1,1,1,1,1,0.739130435,c,Student55,Student55,Student,user_graph
Student76,2,0,63,225,32,student,Student76,Student76,1,2,2,2,2,2,2,2,2,2,1,1,0.913043478,a,Student76,Student76,Student,user_graph
Student39,2,1,32,189,56,student,Student39,Student39,2,2,1,1,1,2,2,1,2,,,,0.608695652,d,Student39,Student39,Student,user_graph
Student36,4,0,45,53,18,student,Student36,Student36,1,1,1,1,1,1,1,1,1,1,2,1,0.565217391,d,Student36,Student36,Student,user_graph
Student34,3,6,404,340,71,student,Student34,Student34,2,1,1,2,0,1,2,1,1,,,,0.47826087,d,Student34,Student34,Student,user_graph
Student6,1,2,143,344,72,student,Student6,Student6,2,2,2,1,1,1,1,1,1,1,1,2,0.695652174,d,Student6,Student6,Student,user_graph
Student1,5,0,130,346,66,student,Student1,Student1,1,2,2,1,1,1,1,1,1,1,1,2,0.652173913,d,Student1,Student1,Student,user_graph
Student17,3,2,74,332,65,student,Student17,Student17,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913,d,Student17,Student17,Student,user_graph
Teacher1,0,0,177,176,40,teacher,,,,,,,,,,,,,,,,,Teacher1,Teacher1,Teacher,user_graph
Student74,2,1,43,110,63,student,Student74,Student74,1,1,2,2,2,2,2,1,1,2,2,2,0.869565217,b,Student74,Student74,Student,user_graph
Student45,1,3,88,298,64,student,Student45,Student45,1,1,1,1,1,2,2,2,2,2,2,2,0.826086957,b,Student45,Student45,Student,user_graph
Student61,1,0,102,341,55,student,Student61,Student61,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913,d,Student61,Student61,Student,user_graph
Student24,6,1,151,341,72,student,Student24,Student24,1,1,2,1,1,2,2,1,1,2,2,0,0.695652174,d,Student24,Student24,Student,user_graph
Student73,2,0,86,331,35,student,Student73,Student73,1,1,1,1,1,1,1,1,1,2,1,1,0.565217391,d,Student73,Student73,Student,user_graph
Teacher5,0,2,255,172,54,teacher,,,,,,,,,,,,,,,,,Teacher5,Teacher5,Teacher,user_graph
Misc1,0,0,13,67,56,student,,,,,,,,,,,,,,,,,Misc1,Misc1,Misc,user_graph
Teacher7,0,0,124,85,44,teacher,,,,,,,,,,,,,,,,,Teacher7,Teacher7,Teacher,user_graph
Student38,4,0,74,235,70,student,Student38,Student38,1,2,1,1,2,2,2,1,2,2,2,2,0.869565217,b,Student38,Student38,Student,user_graph
Student68,0,0,37,151,28,student,Student68,Student68,1,1,1,1,1,1,1,1,1,0,0,0,0.391304348,d,Student68,Student68,Student,user_graph
Student48,1,1,36,341,46,student,Student48,Student48,1,1,2,1,2,2,1,1,1,1,1,,0.608695652,d,Student48,Student48,Student,user_graph
Student77,1,0,86,323,62,student,Student77,Student77,1,1,2,1,1,1,1,2,2,2,2,2,0.782608696,c,Student77,Student77,Student,user_graph
Student79,7,0,29,113,35,student,Student79,Student79,1,1,2,1,1,1,1,1,2,1,1,2,0.652173913,d,Student79,Student79,Student,user_graph
Student84,2,0,26,97,30,student,Student84,Student84,1,1,1,1,2,2,1,1,0,2,1,2,0.652173913,d,Student84,Student84,Student,user_graph
Student22,6,4,134,283,70,student,Student22,Student22,2,1,2,1,2,1,1,1,1,2,2,2,0.782608696,c,Student22,Student22,Student,user_graph
Teacher4,0,0,224,135,49,teacher,,,,,,,,,,,,,,,,,Teacher4,Teacher4,Teacher,user_graph
Teacher3,1,0,175,289,70,teacher,,,,,,,,,,,,,,,,,Teacher3,Teacher3,Teacher,user_graph
Student80,2,0,97,161,70,student,Student80,Student80,2,2,2,2,2,2,2,1,2,2,2,1,0.956521739,a,Student80,Student80,Student,user_graph
Student60,0,0,46,80,48,student,Student60,Student60,1,2,1,1,1,1,1,1,2,,,,0.47826087,d,Student60,Student60,Student,user_graph
Student56,2,0,29,89,39,student,Student56,Student56,1,1,2,1,0,1,1,1,1,,,,0.391304348,d,Student56,Student56,Student,user_graph
Student95,2,1,52,342,54,student,Student95,Student95,2,2,2,1,1,2,1,1,2,2,2,2,0.869565217,b,Student95,Student95,Student,user_graph
Student85,0,0,80,338,53,student,Student85,Student85,1,2,1,1,2,1,2,1,2,2,1,1,0.739130435,c,Student85,Student85,Student,user_graph
Student100,3,0,72,206,46,student,Student100,Student100,2,2,2,2,2,2,2,1,2,2,2,2,1,a,Student100,Student100,Student,user_graph
Student41,1,0,32,213,45,student,Student41,Student41,1,1,1,1,2,1,1,1,2,2,1,2,0.695652174,d,Student41,Student41,Student,user_graph
Student7,0,0,25,327,53,student,Student7,Student7,1,2,1,1,1,2,1,1,2,2,2,2,0.782608696,c,Student7,Student7,Student,user_graph
Student44,3,1,81,145,52,student,Student44,Student44,1,2,2,2,2,2,2,1,2,1,2,1,0.869565217,b,Student44,Student44,Student,user_graph
Student46,1,0,47,222,37,student,Student46,Student46,1,1,1,1,1,1,1,1,2,1,2,2,0.652173913,d,Student46,Student46,Student,user_graph
Misc3,2,0,33,89,51,student,,,,,,,,,,,,,,,,,Misc3,Misc3,Misc,user_graph
Student81,4,0,64,320,49,student,Student81,Student81,2,2,1,2,2,2,2,1,1,1,1,1,0.782608696,c,Student81,Student81,Student,user_graph
