id,Source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights
0,gd6v7134AUa,idf8noiig7h6wh,directed,post_graph,0,0,0,0,0
1,gd6v7134AUa,idf8np6hlvk6wo,directed,post_graph,0,0,0,0,0
2,gd6v7134AUa,idf8np8iaa16wr,directed,post_graph,0,0,0,0,0
3,gd6v7134AUa,idf8npbr5qm6wt,directed,post_graph,0,0,0,0,0
4,gd6v7134AUa,idf8nq2g36u6wx,directed,post_graph,0,0,0,0,0
510,Student24,idltd55lm2y3on,directed,post_graph,0,0,0,0,0
2855,Student13,idy3acbjrmr169,directed,post_graph,0,0,0,0,0
2864,Student79,idyffwuzdh41pw,directed,post_graph,0,0,0,0,0
3169,Student24,ie4gaadzv70454,directed,post_graph,0,0,0,0,0
3388,Student14,ie7zwxtnd0143d,directed,post_graph,0,0,0,0,0
3900,Teacher6,ien6ju9sc4wlb,directed,post_graph,0,0,0,0,0
4039,Teacher2,ieu7totw95cr4,directed,post_graph,0,0,0,0,0
4175,Teacher2,iexn3m9mlpb3hy,directed,post_graph,0,0,0,0,0
4019,Student40,ierjoywh6ly5k3,directed,post_graph,0,30,0,0,30
4064,Student32,ieur6ml8c6q6nt,directed,post_graph,0,40,0,0,40
4775,Student32,iffjqod4amk45n,directed,post_graph,0,41,0,0,41
3395,Student24,ie8kuijxowf6xq,directed,post_graph,0,49,0,0,49
3402,Student15,ie8nawsb7gt2sq,directed,post_graph,0,55,0,0,55
4810,Student77,ifhlvknq2zrr8,directed,post_graph,0,61,0,0,61
234,hvafvjd4lOd,idgcqchhob17dp,directed,post_graph,2,0,0,0,2
236,Student44,idgcqchhob17dp,directed,post_graph,2,0,0,0,2
239,Student13,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2
241,Student72,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2
277,Teacher2,idgupesb98v5xi,directed,post_graph,2,0,0,0,2
279,Student51,idgupesb98v5xi,directed,post_graph,2,0,0,0,2
313,Misc4,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2
314,Misc4,Student24,directed,user_graph,2,0,0,0,2
315,Student3,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2
316,Student3,Student24,directed,user_graph,2,0,0,0,2
389,Student8,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2
391,Student13,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2
394,Student13,idkapykv8ke43s,directed,post_graph,2,0,0,0,2
395,Student13,Student43,directed,user_graph,2,0,0,0,2
396,Student6,idkapykv8ke43s,directed,post_graph,2,0,0,0,2
397,Student6,Student43,directed,user_graph,2,0,0,0,2
565,Student34,idn7sh3fc231yc,directed,post_graph,2,0,0,0,2
566,Student34,Student60,directed,user_graph,2,0,0,0,2
567,Student80,idn7sh3fc231yc,directed,post_graph,2,0,0,0,2
568,Student80,Student60,directed,user_graph,2,0,0,0,2
637,Student1,idq1jr6gq606jf,directed,post_graph,2,0,0,0,2
639,Student8,idq1jr6gq606jf,directed,post_graph,2,0,0,0,2
757,Teacher5,idqwx4zbh2h3y7,directed,post_graph,2,0,0,0,2
758,Teacher5,Student13,directed,user_graph,2,0,0,0,2
759,Student58,idqwx4zbh2h3y7,directed,post_graph,2,0,0,0,2
760,Student58,Student13,directed,user_graph,2,0,0,0,2
762,Student35,idqx3sp1f633ou,directed,post_graph,2,0,0,0,2
763,Student35,Student13,directed,user_graph,2,0,0,0,2
764,Teacher5,idqx3sp1f633ou,directed,post_graph,2,0,0,0,2
765,Teacher5,Student13,directed,user_graph,2,0,0,0,2
767,Student2,idrabjc8ewx56d,directed,post_graph,2,0,0,0,2
768,Student2,Student34,directed,user_graph,2,0,0,0,2
