,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
0,gd6v7134AUa,idf8noiig7h6wh,directed,post_graph,0,0,0,0,0,gd
1,gd6v7134AUa,idf8np6hlvk6wo,directed,post_graph,0,0,0,0,0,gd
2,gd6v7134AUa,idf8np8iaa16wr,directed,post_graph,0,0,0,0,0,gd
3,gd6v7134AUa,idf8npbr5qm6wt,directed,post_graph,0,0,0,0,0,gd
4,gd6v7134AUa,idf8nq2g36u6wx,directed,post_graph,0,0,0,0,0,gd
510,Student24,idltd55lm2y3on,directed,post_graph,0,0,0,0,0,Student
2855,Student13,idy3acbjrmr169,directed,post_graph,0,0,0,0,0,Student
2864,Student79,idyffwuzdh41pw,directed,post_graph,0,0,0,0,0,Student
3169,Student24,ie4gaadzv70454,directed,post_graph,0,0,0,0,0,Student
3388,Student14,ie7zwxtnd0143d,directed,post_graph,0,0,0,0,0,Student
3900,Teacher6,ien6ju9sc4wlb,directed,post_graph,0,0,0,0,0,Teacher
4039,Teacher2,ieu7totw95cr4,directed,post_graph,0,0,0,0,0,Teacher
4175,Teacher2,iexn3m9mlpb3hy,directed,post_graph,0,0,0,0,0,Teacher
4019,Student40,ierjoywh6ly5k3,directed,post_graph,0,30,0,0,30,Student
4064,Student32,ieur6ml8c6q6nt,directed,post_graph,0,40,0,0,40,Student
4775,Student32,iffjqod4amk45n,directed,post_graph,0,41,0,0,41,Student
3395,Student24,ie8kuijxowf6xq,directed,post_graph,0,49,0,0,49,Student
3402,Student15,ie8nawsb7gt2sq,directed,post_graph,0,55,0,0,55,Student
4810,Student77,ifhlvknq2zrr8,directed,post_graph,0,61,0,0,61,Student
234,hvafvjd4lOd,idgcqchhob17dp,directed,post_graph,2,0,0,0,2,hvafvjd
236,Student44,idgcqchhob17dp,directed,post_graph,2,0,0,0,2,Student
239,Student13,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2,Student
241,Student72,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2,Student
277,Teacher2,idgupesb98v5xi,directed,post_graph,2,0,0,0,2,Teacher
279,Student51,idgupesb98v5xi,directed,post_graph,2,0,0,0,2,Student
313,Misc4,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2,Misc
315,Student3,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2,Student
389,Student8,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2,Student
391,Student13,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2,Student
