,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
510,Student24,idltd55lm2y3on,directed,post_graph,0,0,0,0,0,Student
2855,Student13,idy3acbjrmr169,directed,post_graph,0,0,0,0,0,Student
2864,Student79,idyffwuzdh41pw,directed,post_graph,0,0,0,0,0,Student
3169,Student24,ie4gaadzv70454,directed,post_graph,0,0,0,0,0,Student
3388,Student14,ie7zwxtnd0143d,directed,post_graph,0,0,0,0,0,Student
4019,Student40,ierjoywh6ly5k3,directed,post_graph,0,30,0,0,30,Student
4064,Student32,ieur6ml8c6q6nt,directed,post_graph,0,40,0,0,40,Student
4775,Student32,iffjqod4amk45n,directed,post_graph,0,41,0,0,41,Student
3395,Student24,ie8kuijxowf6xq,directed,post_graph,0,49,0,0,49,Student
3402,Student15,ie8nawsb7gt2sq,directed,post_graph,0,55,0,0,55,Student
4810,Student77,ifhlvknq2zrr8,directed,post_graph,0,61,0,0,61,Student
236,Student44,idgcqchhob17dp,directed,post_graph,2,0,0,0,2,Student
239,Student13,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2,Student
241,Student72,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2,Student
279,Student51,idgupesb98v5xi,directed,post_graph,2,0,0,0,2,Student
315,Student3,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2,Student
389,Student8,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2,Student
391,Student13,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2,Student
394,Student13,idkapykv8ke43s,directed,post_graph,2,0,0,0,2,Student
396,Student6,idkapykv8ke43s,directed,post_graph,2,0,0,0,2,Student
565,Student34,idn7sh3fc231yc,directed,post_graph,2,0,0,0,2,Student
567,Student80,idn7sh3fc231yc,directed,post_graph,2,0,0,0,2,Student
637,Student1,idq1jr6gq606jf,directed,post_graph,2,0,0,0,2,Student
639,Student8,idq1jr6gq606jf,directed,post_graph,2,0,0,0,2,Student
759,Student58,idqwx4zbh2h3y7,directed,post_graph,2,0,0,0,2,Student
762,Student35,idqx3sp1f633ou,directed,post_graph,2,0,0,0,2,Student
767,Student2,idrabjc8ewx56d,directed,post_graph,2,0,0,0,2,Student
769,Student46,idrabjc8ewx56d,directed,post_graph,2,0,0,0,2,Student
1095,Student34,idrghu2l8x45bo,directed,post_graph,2,0,0,0,2,Student
2188,Student100,idtuzkucylm1vc,directed,post_graph,2,0,0,0,2,Student
2382,Student71,idu4m1sjvp21aq,directed,post_graph,2,0,0,0,2,Student
2384,Student33,idu4m1sjvp21aq,directed,post_graph,2,0,0,0,2,Student
2643,Student32,idwfbm8fppd2fe,directed,post_graph,2,0,0,0,2,Student
2645,Student46,idwfbm8fppd2fe,directed,post_graph,2,0,0,0,2,Student
2655,Student65,idx6e1tkxvz15h,directed,post_graph,2,0,0,0,2,Student
2657,Student55,idx6e1tkxvz15h,directed,post_graph,2,0,0,0,2,Student
2660,Student76,idx8vw8bt1055w,directed,post_graph,2,0,0,0,2,Student
2662,Student50,idx8vw8bt1055w,directed,post_graph,2,0,0,0,2,Student
2665,Student88,idx9pa3lnw326m,directed,post_graph,2,0,0,0,2,Student
2667,Student100,idx9pa3lnw326m,directed,post_graph,2,0,0,0,2,Student
2849,Student11,idxpxnq5j8u5pg,directed,post_graph,2,0,0,0,2,Student
2851,Student40,idxpxnq5j8u5pg,directed,post_graph,2,0,0,0,2,Student
2914,Student6,idyvneq5hay4cp,directed,post_graph,2,0,0,0,2,Student
2916,Student84,idyvneq5hay4cp,directed,post_graph,2,0,0,0,2,Student
2943,Student55,idz0rhozumh4sk,directed,post_graph,2,0,0,0,2,Student
2945,Student74,idz0rhozumh4sk,directed,post_graph,2,0,0,0,2,Student
3180,Student33,ie4p4850pox3zm,directed,post_graph,2,0,0,0,2,Student
3182,Student38,ie4p4850pox3zm,directed,post_graph,2,0,0,0,2,Student
3295,Student22,ie5w0dj0fmm106,directed,post_graph,2,0,0,0,2,Student
3297,Student73,ie5w0dj0fmm106,directed,post_graph,2,0,0,0,2,Student
3302,Student40,ie65kwix6s5567,directed,post_graph,2,0,0,0,2,Student
3304,Student33,ie65kwix6s5567,directed,post_graph,2,0,0,0,2,Student
3316,Student54,ie68liryebtsr,directed,post_graph,2,0,0,0,2,Student
3318,Student65,ie68liryebtsr,directed,post_graph,2,0,0,0,2,Student
3351,Student22,ie765ycdicl48u,directed,post_graph,2,0,0,0,2,Student
3353,Student44,ie765ycdicl48u,directed,post_graph,2,0,0,0,2,Student
3369,Student26,ie7dgu0wctf77j,directed,post_graph,2,0,0,0,2,Student
3371,Student55,ie7dgu0wctf77j,directed,post_graph,2,0,0,0,2,Student
3378,Student40,ie7rj51ijcf1po,directed,post_graph,2,0,0,0,2,Student
3380,Student32,ie7rj51ijcf1po,directed,post_graph,2,0,0,0,2,Student
3383,Student51,ie7tpjjxrx168o,directed,post_graph,2,0,0,0,2,Student
3390,Student56,ie81jj5p3lt2lx,directed,post_graph,2,0,0,0,2,Student
3392,Student55,ie81jj5p3lt2lx,directed,post_graph,2,0,0,0,2,Student
3397,Student11,ie8lfred1vi269,directed,post_graph,2,0,0,0,2,Student
3399,Student90,ie8lfred1vi269,directed,post_graph,2,0,0,0,2,Student
3421,Student91,iea8ciojd3y5td,directed,post_graph,2,0,0,0,2,Student
3424,Student22,iea99joppf46xd,directed,post_graph,2,0,0,0,2,Student
3471,Student13,ieaofqovp0m19q,directed,post_graph,2,0,0,0,2,Student
3473,Student54,ieaofqovp0m19q,directed,post_graph,2,0,0,0,2,Student
3601,Student61,iedobrvq40261v,directed,post_graph,2,0,0,0,2,Student
3603,Student13,iedobrvq40261v,directed,post_graph,2,0,0,0,2,Student
3721,Student17,ieg6y8vtmmr1tt,directed,post_graph,2,0,0,0,2,Student
3823,Student9,iek88dbsioq10l,directed,post_graph,2,0,0,0,2,Student
3825,Student81,iek88dbsioq10l,directed,post_graph,2,0,0,0,2,Student
3896,Student68,iemurkdajhr4p6,directed,post_graph,2,0,0,0,2,Student
3958,Student26,iep10gsutxi3zl,directed,post_graph,2,0,0,0,2,Student
3960,Student1,iep10gsutxi3zl,directed,post_graph,2,0,0,0,2,Student
3964,Student68,iepsh98dju31n4,directed,post_graph,2,0,0,0,2,Student
3966,Student66,iepsh98dju31n4,directed,post_graph,2,0,0,0,2,Student
4012,Student44,ieqkivmnub717y,directed,post_graph,2,0,0,0,2,Student
4014,Student11,ieqkivmnub717y,directed,post_graph,2,0,0,0,2,Student
4025,Student6,iet22l05ucp2b3,directed,post_graph,2,0,0,0,2,Student
4060,Student1,ieunamj87u04j,directed,post_graph,2,0,0,0,2,Student
4062,Student34,ieunamj87u04j,directed,post_graph,2,0,0,0,2,Student
4114,Student77,ievnkt7vskv1tb,directed,post_graph,2,0,0,0,2,Student
4132,Student98,iexmi79vi6346u,directed,post_graph,2,0,0,0,2,Student
4141,Student70,iexmk73orb3da,directed,post_graph,2,0,0,0,2,Student
4147,Student75,iexml2sk4ne6ko,directed,post_graph,2,0,0,0,2,Student
4153,Student14,iexmosep41522d,directed,post_graph,2,0,0,0,2,Student
4158,Student92,iexmp65m57v2ah,directed,post_graph,2,0,0,0,2,Student
4164,Student63,iexmpynp28635y,directed,post_graph,2,0,0,0,2,Student
4178,Student80,iexn5vherm079w,directed,post_graph,2,0,0,0,2,Student
4180,Student80,iexn5vherm079w,directed,post_graph,2,0,0,0,2,Student
4249,Student71,iezqt4r7v2u233,directed,post_graph,2,0,0,0,2,Student
4251,Student53,iezqt4r7v2u233,directed,post_graph,2,0,0,0,2,Student
4294,Student17,if0j2y6hz669y,directed,post_graph,2,0,0,0,2,Student
4296,Student13,if0j2y6hz669y,directed,post_graph,2,0,0,0,2,Student
4299,Student68,if12pinnjnf2o2,directed,post_graph,2,0,0,0,2,Student
4301,Student8,if12pinnjnf2o2,directed,post_graph,2,0,0,0,2,Student
4322,Student50,if32o2ctfkl2dz,directed,post_graph,2,0,0,0,2,Student
4338,Student13,if3bcgpnuof1ol,directed,post_graph,2,0,0,0,2,Student
4340,Student34,if3bcgpnuof1ol,directed,post_graph,2,0,0,0,2,Student
4531,Student8,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2,Student
4533,Student17,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2,Student
4536,Student8,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2,Student
4538,Student34,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2,Student
4581,Student71,if72326t5zs3l8,directed,post_graph,2,0,0,0,2,Student
4583,Student13,if72326t5zs3l8,directed,post_graph,2,0,0,0,2,Student
4643,Student83,if8ps624elf3z4,directed,post_graph,2,0,0,0,2,Student
4645,Student33,if8ps624elf3z4,directed,post_graph,2,0,0,0,2,Student
4717,Student53,ifasbdrvyte3dr,directed,post_graph,2,0,0,1,3,Student
4807,Student10,ifh8qaf3e5h600,directed,post_graph,2,0,0,0,2,Student
4047,Student22,ieuce3knaw32cf,directed,post_graph,2,12,0,0,14,Student
