,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
314,Misc4,Student24,directed,user_graph,2,0,0,0,2,Misc
316,Student3,Student24,directed,user_graph,2,0,0,0,2,Student
395,Student13,Student43,directed,user_graph,2,0,0,0,2,Student
397,Student6,Student43,directed,user_graph,2,0,0,0,2,Student
566,Student34,Student60,directed,user_graph,2,0,0,0,2,Student
568,Student80,Student60,directed,user_graph,2,0,0,0,2,Student
758,Teacher5,Student13,directed,user_graph,2,0,0,0,2,Teacher
760,Student58,Student13,directed,user_graph,2,0,0,0,2,Student
763,Student35,Student13,directed,user_graph,2,0,0,0,2,Student
765,Teacher5,Student13,directed,user_graph,2,0,0,0,2,Teacher
768,Student2,Student34,directed,user_graph,2,0,0,0,2,Student
770,Student46,Student34,directed,user_graph,2,0,0,0,2,Student
1096,Student34,Teacher2,directed,user_graph,2,0,0,0,2,Student
1098,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
2189,Student100,Teacher7,directed,user_graph,2,0,0,0,2,Student
2191,Teacher7,Teacher7,directed,user_graph,2,0,0,0,2,Teacher
2383,Student71,Student34,directed,user_graph,2,0,0,0,2,Student
2385,Student33,Student34,directed,user_graph,2,0,0,0,2,Student
2666,Student88,Student60,directed,user_graph,2,0,0,0,2,Student
2668,Student100,Student60,directed,user_graph,2,0,0,0,2,Student
2718,idfybvjfkFB,Teacher1,directed,user_graph,2,0,0,0,2,idfybvjfkFB
2720,Teacher1,Teacher1,directed,user_graph,2,0,0,0,2,Teacher
2944,Student55,Student55,directed,user_graph,2,0,0,0,2,Student
2946,Student74,Student55,directed,user_graph,2,0,0,0,2,Student
3181,Student33,Student72,directed,user_graph,2,0,0,0,2,Student
3183,Student38,Student72,directed,user_graph,2,0,0,0,2,Student
3296,Student22,Student55,directed,user_graph,2,0,0,0,2,Student
3298,Student73,Student55,directed,user_graph,2,0,0,0,2,Student
3303,Student40,Student63,directed,user_graph,2,0,0,0,2,Student
3305,Student33,Student63,directed,user_graph,2,0,0,0,2,Student
3379,Student40,Student99,directed,user_graph,2,0,0,0,2,Student
3381,Student32,Student99,directed,user_graph,2,0,0,0,2,Student
3391,Student56,Student56,directed,user_graph,2,0,0,0,2,Student
3393,Student55,Student56,directed,user_graph,2,0,0,0,2,Student
3420,Teacher5,Student34,directed,user_graph,2,0,0,0,2,Teacher
3422,Student91,Student34,directed,user_graph,2,0,0,0,2,Student
3722,Student17,Student44,directed,user_graph,2,0,0,0,2,Student
3897,Student68,Student43,directed,user_graph,2,0,0,0,2,Student
3899,Teacher2,Student43,directed,user_graph,2,0,0,0,2,Teacher
4013,Student44,Teacher7,directed,user_graph,2,0,0,0,2,Student
4015,Student11,Teacher7,directed,user_graph,2,0,0,0,2,Student
4024,Teacher2,Student6,directed,user_graph,2,0,0,0,2,Teacher
4026,Student6,Student6,directed,user_graph,2,0,0,0,2,Student
4115,Student77,Student68,directed,user_graph,2,0,0,0,2,Student
4117,Teacher3,Student68,directed,user_graph,2,0,0,0,2,Teacher
4133,Student98,Teacher2,directed,user_graph,2,0,0,0,2,Student
4135,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
4142,Student70,Teacher2,directed,user_graph,2,0,0,0,2,Student
4144,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
4148,Student75,Teacher2,directed,user_graph,2,0,0,0,2,Student
4150,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
4154,Student14,Teacher2,directed,user_graph,2,0,0,0,2,Student
4156,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2,Teacher
