,id,label
283,Misc1,Misc1
101,Misc3,Misc3
552,Student1,Student1
27,Student10,Student10
164,Student100,Student100
509,Student101,Student101
226,Student13,Student13
19,Student14,Student14
361,Student15,Student15
397,Student16,Student16
217,Student17,Student17
551,Student21,Student21
367,Student22,Student22
377,Student24,Student24
193,Student3,Student3
435,Student32,Student32
212,Student33,Student33
55,Student34,Student34
437,Student35,Student35
474,Student36,Student36
60,Student38,Student38
445,Student39,Student39
385,Student40,Student40
382,Student41,Student41
103,Student43,Student43
522,Student44,Student44
519,Student45,Student45
516,Student46,Student46
500,Student48,Student48
57,Student51,Student51
342,Student53,Student53
41,Student54,Student54
390,Student55,Student55
305,Student56,Student56
316,Student58,Student58
285,Student59,Student59
64,Student6,Student6
87,Student60,Student60
473,Student61,Student61
95,Student63,Student63
299,Student64,Student64
481,Student65,Student65
230,Student68,Student68
349,Student7,Student7
415,Student71,Student71
122,Student72,Student72
200,Student73,Student73
346,Student74,Student74
159,Student75,Student75
413,Student76,Student76
524,Student77,Student77
22,Student79,Student79
119,Student8,Student8
70,Student80,Student80
386,Student81,Student81
3,Student82,Student82
205,Student83,Student83
208,Student84,Student84
237,Student85,Student85
76,Student86,Student86
325,Student95,Student95
180,Student97,Student97
537,Student99,Student99
339,Teacher1,Teacher1
426,Teacher2,Teacher2
161,Teacher3,Teacher3
91,Teacher4,Teacher4
348,Teacher5,Teacher5
381,Teacher6,Teacher6
558,Teacher7,Teacher7
99,gd6v7134AUa,gd6v7134AUa
356,id[firstname]2siltd5q4,
242,idf8noiig7h6wh,Welcome to Piazza!
210,idf8np6hlvk6wo,Tips & Tricks for a successful class
134,idf8np8iaa16wr,Get familiar with Piazza
539,idf8npbr5qm6wt,Introduce Piazza to your students
540,idf8nq2g36u6wx,Search for Teammates!
493,idf9ojdm3ty40e,
245,idfaa4du2eb3bd,
488,idg2yzr68cm2x4,
135,idgcq5z4benkd,&#34;Teaching Is About Relationships&#34; -Bill Gates (article)
190,idgcqchhob17dp,
431,idgcqjv0q223g9,
418,idgqnrtlgde5pw,
146,idgrodful3h7bm,Preaching to the Choir - How T-Square failed me as a piece of educational technology
163,idgsad8pyns56d,Peer review
429,idgttuabl79v2,
410,idgudhlbvnu4h3,Survey questions
11,idgupesb98v5xi,
47,idgw6kt1inbha,Project Tracking and Sharing
82,idh1kuiuasa3cy,Udacity course errors/corrections
152,idhbwempgx05wy,Beta Testing verus Research?
136,idhejp6ddjw78b,Integrating Technology - Novel way of learning
109,idhfrlt04s94n9,
419,idi4tcownx036b,
153,idijh5p0p41577,
449,idj4r74e4w64kw,Teaching Autistic Students Programming
38,idjask0lxnr27z,
277,idjee7hfmql1rg,
311,idjlc2ltmdi72d,
399,idk5gij1h3j5j6,
360,idkapykv8ke43s,Faked peer reviews in scientific journals
527,idki7nayvhc4kv,Celebrity/professional presentation of course content. Yes or no?
453,idkled9yf8c2rx,
273,idko1ucj5b58j,OMSCS Mobile App
354,idkozyrjfs05nx,Library Contribution
170,idkp7btwzv76v1,Rea[lastname]g Material Finder
218,idksc5bpary205,Our future...
501,idlaeg5y4r24rb,
274,idlox93qedq5nt,10th grader&#39;s high school project claim to be 47% more accurate than Google search.
366,idltd55lm2y3on,Good News for Nanotechnology Majors
25,idm7akhj1z9626,
416,idmazeha6g22ia,
24,idmedk1vgep2pc,
438,idmgzghk6wx6lf,
17,idmhwfo7z4t6m0,Maximizing organizational value from the Personal Statement
291,idn30rqxc2d730,Are games extrinsic or intrinsic motivation?
204,idn3gwb5dal2h2,
179,idn7sh3fc231yc,Research / Hybrid Project Idea(s) &#43; Interested peer search
450,idn8h3xz9p9xo,Using Watson in the Classroom
392,idnbhjqyhjb5s1,
461,idngyqf3fmsb1,Getting &#34;Assessment Not Available&#34; for survey
130,idnjluken0q1kd,
165,idnk1x7iw8p4zz,
114,idomf0rr4qg11d,
88,idovhlrycs66h5,Issues with peerfeedback/tsquare
394,idozco2lb9o449,Personal statement submission
139,idp41i5hi8c5e7,
512,idphzkjjkomb1,Feedback on peer review of personal statement
228,idpi6p5vf1d5h3,New Media Consortium&#39;s Horizon report: broad-based summary of recent activity in EdTech
344,idptocam3s474e,&#34;ClassCraft&#34;
525,idpx1im3k1026q,
490,idq1jr6gq606jf,
532,idqaeq93psy1jw,Educational Game for Writing and Collaborating
234,idqbstoqcsb5p0,
478,idqnio8shug2aa,
340,idqosaydmvzc0,
401,idqtwrrsc194fn,Library Contribution
224,idquiivus6z1o0,Thanks for the contribution!
284,idqvgdh5ck73qd,[firstname] [lastname] &#43; Teacher2: Mentor Discussion
93,idqwx4zbh2h3y7,Problem To Address: &#34;Educational&#34; Data Mining of Educational Technology / Education Datasets
219,idqx3sp1f633ou,Proposed Problem Scope: &#34;Educational&#34; Data Mining
451,idrabjc8ewx56d,Proctoring
298,idraozwip2z6do,
149,idrap38w9407c5,
181,idratehur3g75e,
306,idraxc9rfs66lk,
221,idrb079lxjf19s,
132,idrb[firstname]r7w56y1,
302,idrbheqd9ke503,
312,idrbkoihgpf4mb,
489,idrbpxq9kmy5nh,
105,idrbs9gf25c64w,
307,idrbzveanz513w,
278,idrc2t7my1mp,
412,idrc4mnvg147fp,
31,idrc6f4l8rh1ji,
526,idrc7y43q3g1u3,
517,idrghu2l8x45bo,Study identifies new cheating method in MOOCs
270,idrl43e8otx57,
514,idrlsjks7ky2qm,[firstname] Darden &#43; Greg Weber: Mentor Discussion
223,idrlv9slkri3m7,Misc3 &#43; Greg Weber: Mentor Discussion
79,idrlxlyotxk4k8,Student4 &#43; Greg Weber: Mentor Discussion
420,idrlz9cedic61l,Student76reene &#43; Greg Weber: Mentor Discussion
131,idrm0rixhes4oo,Student58 &#43; Greg Weber: Mentor Discussion
409,idrm2cf039r6y3,Student28 &#43; Greg Weber: Mentor Discussion
