,id,label
279,Misc1,Misc1
100,Misc3,Misc3
80,Student1,Student1
29,Student10,Student10
166,Student100,Student100
501,Student101,Student101
231,Student13,Student13
21,Student14,Student14
359,Student15,Student15
404,Student16,Student16
223,Student17,Student17
549,Student21,Student21
365,Student22,Student22
376,Student24,Student24
200,Student3,Student3
436,Student32,Student32
220,Student33,Student33
56,Student34,Student34
438,Student35,Student35
443,Student36,Student36
61,Student38,Student38
194,Student39,Student39
386,Student40,Student40
382,Student41,Student41
102,Student43,Student43
515,Student44,Student44
512,Student45,Student45
509,Student46,Student46
491,Student48,Student48
58,Student51,Student51
338,Student53,Student53
44,Student54,Student54
396,Student55,Student55
303,Student56,Student56
311,Student58,Student58
281,Student59,Student59
63,Student6,Student6
85,Student60,Student60
469,Student61,Student61
92,Student63,Student63
298,Student64,Student64
475,Student65,Student65
238,Student68,Student68
345,Student7,Student7
419,Student71,Student71
118,Student72,Student72
209,Student73,Student73
340,Student74,Student74
160,Student75,Student75
418,Student76,Student76
518,Student77,Student77
25,Student79,Student79
116,Student8,Student8
68,Student80,Student80
388,Student81,Student81
11,Student82,Student82
213,Student83,Student83
216,Student84,Student84
243,Student85,Student85
76,Student86,Student86
317,Student95,Student95
189,Student97,Student97
433,Student99,Student99
335,Teacher1,Teacher1
431,Teacher2,Teacher2
162,Teacher3,Teacher3
88,Teacher4,Teacher4
344,Teacher5,Teacher5
381,Teacher6,Teacher6
558,Teacher7,Teacher7
98,gd6v7134AUa,gd6v7134AUa
492,id[firstname]2siltd5q4,
247,idf8noiig7h6wh,Welcome to Piazza!
218,idf8np6hlvk6wo,Tips & Tricks for a successful class
128,idf8np8iaa16wr,Get familiar with Piazza
531,idf8npbr5qm6wt,Introduce Piazza to your students
532,idf8nq2g36u6wx,Search for Teammates!
349,idf9ojdm3ty40e,
101,idfaa4du2eb3bd,
442,idg2yzr68cm2x4,
129,idgcq5z4benkd,&#34;Teaching Is About Relationships&#34; -Bill Gates (article)
336,idgcqchhob17dp,
150,idgcqjv0q223g9,
264,idgqnrtlgde5pw,
142,idgrodful3h7bm,Preaching to the Choir - How T-Square failed me as a piece of educational technology
