,id,label
303,Misc1,Misc1
118,Misc3,Misc3
553,Student1,Student1
35,Student10,Student10
181,Student100,Student100
517,Student101,Student101
244,Student13,Student13
26,Student14,Student14
384,Student15,Student15
419,Student16,Student16
234,Student17,Student17
552,Student21,Student21
388,Student22,Student22
399,Student24,Student24
207,Student3,Student3
454,Student32,Student32
229,Student33,Student33
64,Student34,Student34
456,Student35,Student35
464,Student36,Student36
69,Student38,Student38
466,Student39,Student39
407,Student40,Student40
404,Student41,Student41
122,Student43,Student43
528,Student44,Student44
525,Student45,Student45
522,Student46,Student46
511,Student48,Student48
66,Student51,Student51
364,Student53,Student53
50,Student54,Student54
414,Student55,Student55
327,Student56,Student56
335,Student58,Student58
306,Student59,Student59
73,Student6,Student6
101,Student60,Student60
494,Student61,Student61
106,Student63,Student63
323,Student64,Student64
500,Student65,Student65
249,Student68,Student68
370,Student7,Student7
436,Student71,Student71
139,Student72,Student72
213,Student73,Student73
367,Student74,Student74
174,Student75,Student75
433,Student76,Student76
530,Student77,Student77
28,Student79,Student79
136,Student8,Student8
78,Student80,Student80
408,Student81,Student81
4,Student82,Student82
220,Student83,Student83
223,Student84,Student84
255,Student85,Student85
88,Student86,Student86
341,Student95,Student95
194,Student97,Student97
540,Student99,Student99
362,Teacher1,Teacher1
448,Teacher2,Teacher2
176,Teacher3,Teacher3
103,Teacher4,Teacher4
369,Teacher5,Teacher5
403,Teacher6,Teacher6
558,Teacher7,Teacher7
115,gd6v7134AUa,gd6v7134AUa
225,id[firstname]2siltd5q4,
260,idf8noiig7h6wh,Welcome to Piazza!
226,idf8np6hlvk6wo,Tips & Tricks for a successful class
150,idf8np8iaa16wr,Get familiar with Piazza
542,idf8npbr5qm6wt,Introduce Piazza to your students
543,idf8nq2g36u6wx,Search for Teammates!
81,idf9ojdm3ty40e,
164,idfaa4du2eb3bd,
372,idg2yzr68cm2x4,
151,idgcq5z4benkd,&#34;Teaching Is About Relationships&#34; -Bill Gates (article)
67,idgcqchhob17dp,
120,idgcqjv0q223g9,
7,idgqnrtlgde5pw,
160,idgrodful3h7bm,Preaching to the Choir - How T-Square failed me as a piece of educational technology
179,idgsad8pyns56d,Peer review
305,idgttuabl79v2,
430,idgudhlbvnu4h3,Survey questions
440,idgupesb98v5xi,
55,idgw6kt1inbha,Project Tracking and Sharing
109,idh1kuiuasa3cy,Udacity course errors/corrections
415,idhbwempgx05wy,Beta Testing verus Research?
152,idhejp6ddjw78b,Integrating Technology - Novel way of learning
273,idhfrlt04s94n9,
9,idi4tcownx036b,
24,idijh5p0p41577,
469,idj4r74e4w64kw,Teaching Autistic Students Programming
188,idjask0lxnr27z,
482,idjee7hfmql1rg,
472,idjlc2ltmdi72d,
276,idk5gij1h3j5j6,
383,idkapykv8ke43s,Faked peer reviews in scientific journals
371,idki7nayvhc4kv,Celebrity/professional presentation of course content. Yes or no?
41,idkled9yf8c2rx,
298,idko1ucj5b58j,OMSCS Mobile App
491,idkozyrjfs05nx,Library Contribution
185,idkp7btwzv76v1,Rea[lastname]g Material Finder
235,idksc5bpary205,Our future...
85,idlaeg5y4r24rb,
299,idlox93qedq5nt,10th grader&#39;s high school project claim to be 47% more accurate than Google search.
387,idltd55lm2y3on,Good News for Nanotechnology Majors
463,idm7akhj1z9626,
290,idmazeha6g22ia,
460,idmedk1vgep2pc,
29,idmgzghk6wx6lf,
21,idmhwfo7z4t6m0,Maximizing organizational value from the Personal Statement
313,idn30rqxc2d730,Are games extrinsic or intrinsic motivation?
376,idn3gwb5dal2h2,
193,idn7sh3fc231yc,Research / Hybrid Project Idea(s) &#43; Interested peer search
470,idn8h3xz9p9xo,Using Watson in the Classroom
264,idnbhjqyhjb5s1,
489,idngyqf3fmsb1,Getting &#34;Assessment Not Available&#34; for survey
289,idnjluken0q1kd,
39,idnk1x7iw8p4zz,
551,idomf0rr4qg11d,
102,idovhlrycs66h5,Issues with peerfeedback/tsquare
417,idozco2lb9o449,Personal statement submission
293,idp41i5hi8c5e7,
520,idphzkjjkomb1,Feedback on peer review of personal statement
247,idpi6p5vf1d5h3,New Media Consortium&#39;s Horizon report: broad-based summary of recent activity in EdTech
365,idptocam3s474e,&#34;ClassCraft&#34;
400,idpx1im3k1026q,
79,idq1jr6gq606jf,
536,idqaeq93psy1jw,Educational Game for Writing and Collaborating
409,idqbstoqcsb5p0,
70,idqnio8shug2aa,
111,idqosaydmvzc0,
422,idqtwrrsc194fn,Library Contribution
242,idquiivus6z1o0,Thanks for the contribution!
437,idqvgdh5ck73qd,[firstname] [lastname] &#43; Teacher2: Mentor Discussion
105,idqwx4zbh2h3y7,Problem To Address: &#34;Educational&#34; Data Mining of Educational Technology / Education Datasets
237,idqx3sp1f633ou,Proposed Problem Scope: &#34;Educational&#34; Data Mining
474,idrabjc8ewx56d,Proctoring
168,idraozwip2z6do,
18,idrap38w9407c5,
349,idratehur3g75e,
177,idraxc9rfs66lk,
390,idrb079lxjf19s,
6,idrb[firstname]r7w56y1,
173,idrbheqd9ke503,
182,idrbkoihgpf4mb,
373,idrbpxq9kmy5nh,
269,idrbs9gf25c64w,
468,idrbzveanz513w,
445,idrc2t7my1mp,
411,idrc4mnvg147fp,
471,idrc6f4l8rh1ji,
104,idrc7y43q3g1u3,
523,idrghu2l8x45bo,Study identifies new cheating method in MOOCs
441,idrl43e8otx57,
521,idrlsjks7ky2qm,[firstname] Darden &#43; Greg Weber: Mentor Discussion
241,idrlv9slkri3m7,Misc3 &#43; Greg Weber: Mentor Discussion
91,idrlxlyotxk4k8,Student4 &#43; Greg Weber: Mentor Discussion
439,idrlz9cedic61l,Student76reene &#43; Greg Weber: Mentor Discussion
146,idrm0rixhes4oo,Student58 &#43; Greg Weber: Mentor Discussion
429,idrm2cf039r6y3,Student28 &#43; Greg Weber: Mentor Discussion
1,idrm3sbp5rfj,Student29 &#43; Greg Weber: Mentor Discussion
328,idrm5zcvoecp7,Student85 &#43; Greg Weber: Mentor Discussion
329,idrm7bibsiu6p3,[firstname] [lastname] &#43; Greg Weber: Mentor Discussion
410,idrm8mkez5e1up,Student15 &#43; Greg Weber: Mentor Discussion
238,idrm9xmc5wt494,Student64 &#43; Greg Weber: Mentor Discussion
130,idrmbn86r8h52v,[firstname] [lastname] &#43; Greg Weber: Mentor Discussion
134,idrmdhhfxhe5qt,[firstname] [lastname] &#43; Greg Weber: Mentor Discussion
92,idrmexam5k633x,Student99 &#43; Greg Weber: Mentor Discussion
512,idrnm6doze35zn,Throw back to case based reasoning and other KBAI methods
99,ids0he3vabv3ag,Review peer feedback?
252,ids27r7blpw6ph,
93,ids5c0kaz7i42w,
180,ids5kgtdfa3ge,
131,ids67d56y3t2t8,Group of seven major universities (inclu[lastname]g Georgia Tech!) seeks to offer online microcreden[firstname]ls
