asks,answers,posts,views,days,type,FinalGrade,grade_bucket,id,label,user_type,type_data
0,0,132,324,56,student,0.782608696,c,Student71,Student71,Student,user_graph
0,0,0,0,0,student,0.347826087,d,Student14,Student14,Student,user_graph
0,2,25,71,29,student,0.347826087,d,Student14,Student14,Student,user_graph
2,0,49,339,54,student,0.608695652,d,Student72,Student72,Student,user_graph
2,0,73,322,71,student,0.608695652,d,Student83,Student83,Student,user_graph
4,0,202,156,49,student,0.695652174,d,Student13,Student13,Student,user_graph
1,51,1126,542,71,teacher,,,Teacher2,Teacher2,Teacher,user_graph
5,1,215,209,59,student,0.739130435,c,Student55,Student55,Student,user_graph
2,0,63,225,32,student,0.913043478,a,Student76,Student76,Student,user_graph
2,1,32,189,56,student,0.608695652,d,Student39,Student39,Student,user_graph
4,0,45,53,18,student,0.565217391,d,Student36,Student36,Student,user_graph
3,6,404,340,71,student,0.47826087,d,Student34,Student34,Student,user_graph
1,2,143,344,72,student,0.695652174,d,Student6,Student6,Student,user_graph
5,0,130,346,66,student,0.652173913,d,Student1,Student1,Student,user_graph
3,2,74,332,65,student,0.52173913,d,Student17,Student17,Student,user_graph
0,0,177,176,40,teacher,,,Teacher1,Teacher1,Teacher,user_graph
2,1,43,110,63,student,0.869565217,b,Student74,Student74,Student,user_graph
1,3,88,298,64,student,0.826086957,b,Student45,Student45,Student,user_graph
1,0,102,341,55,student,0.52173913,d,Student61,Student61,Student,user_graph
6,1,151,341,72,student,0.695652174,d,Student24,Student24,Student,user_graph
2,0,86,331,35,student,0.565217391,d,Student73,Student73,Student,user_graph
0,2,255,172,54,teacher,,,Teacher5,Teacher5,Teacher,user_graph
0,0,13,67,56,student,,,Misc1,Misc1,Misc,user_graph
0,0,124,85,44,teacher,,,Teacher7,Teacher7,Teacher,user_graph
4,0,74,235,70,student,0.869565217,b,Student38,Student38,Student,user_graph
0,0,37,151,28,student,0.391304348,d,Student68,Student68,Student,user_graph
1,1,36,341,46,student,0.608695652,d,Student48,Student48,Student,user_graph
1,0,86,323,62,student,0.782608696,c,Student77,Student77,Student,user_graph
7,0,29,113,35,student,0.652173913,d,Student79,Student79,Student,user_graph
2,0,26,97,30,student,0.652173913,d,Student84,Student84,Student,user_graph
6,4,134,283,70,student,0.782608696,c,Student22,Student22,Student,user_graph
0,0,224,135,49,teacher,,,Teacher4,Teacher4,Teacher,user_graph
1,0,175,289,70,teacher,,,Teacher3,Teacher3,Teacher,user_graph
2,0,97,161,70,student,0.956521739,a,Student80,Student80,Student,user_graph
0,0,46,80,48,student,0.47826087,d,Student60,Student60,Student,user_graph
2,0,29,89,39,student,0.391304348,d,Student56,Student56,Student,user_graph
2,1,52,342,54,student,0.869565217,b,Student95,Student95,Student,user_graph
0,0,80,338,53,student,0.739130435,c,Student85,Student85,Student,user_graph
3,0,72,206,46,student,1,a,Student100,Student100,Student,user_graph
1,0,32,213,45,student,0.695652174,d,Student41,Student41,Student,user_graph
0,0,25,327,53,student,0.782608696,c,Student7,Student7,Student,user_graph
3,1,81,145,52,student,0.869565217,b,Student44,Student44,Student,user_graph
1,0,47,222,37,student,0.652173913,d,Student46,Student46,Student,user_graph
2,0,33,89,51,student,,,Misc3,Misc3,Misc,user_graph
4,0,64,320,49,student,0.782608696,c,Student81,Student81,Student,user_graph
1,0,43,343,61,student,0.739130435,c,Student33,Student33,Student,user_graph
2,1,179,344,72,student,0.739130435,c,Student51,Student51,Student,user_graph
3,0,177,205,57,student,0.608695652,d,Student8,Student8,Student,user_graph
0,0,33,234,63,student,0.652173913,d,Student59,Student59,Student,user_graph
0,0,23,259,69,student,0.434782609,d,Student63,Student63,Student,user_graph
0,0,68,259,62,student,0.695652174,d,Student82,Student82,Student,user_graph
1,1,42,109,64,student,0.608695652,d,Student58,Student58,Student,user_graph
6,2,57,323,68,student,0.739130435,c,Student86,Student86,Student,user_graph
0,1,63,215,45,student,0.608695652,d,Student101,Student101,Student,user_graph
1,4,31,79,37,student,0.739130435,c,Student75,Student75,Student,user_graph
0,0,14,54,28,student,0.52173913,d,Student15,Student15,Student,user_graph
2,1,31,321,50,student,0.695652174,d,Student64,Student64,Student,user_graph
3,4,112,246,70,student,0.608695652,d,Student65,Student65,Student,user_graph
6,1,48,265,37,student,0.47826087,d,Student40,Student40,Student,user_graph
2,0,78,139,40,student,0.652173913,d,Student3,Student3,Student,user_graph
0,0,64,342,51,student,0.652173913,d,Student43,Student43,Student,user_graph
0,0,65,342,72,student,0.869565217,b,Student35,Student35,Student,user_graph
2,0,32,100,57,student,0.434782609,d,Student16,Student16,Student,user_graph
1,0,14,92,53,student,0.608695652,d,Student97,Student97,Student,user_graph
1,0,30,339,52,student,0.565217391,d,Student99,Student99,Student,user_graph
3,0,71,305,67,student,0.956521739,a,Student10,Student10,Student,user_graph
0,3,86,293,69,student,0.52173913,d,Student32,Student32,Student,user_graph
0,2,235,112,49,teacher,,,Teacher6,Teacher6,Teacher,user_graph
0,1,31,210,68,student,0.826086957,b,Student53,Student53,Student,user_graph
1,1,27,317,64,student,0.826086957,b,Student21,Student21,Student,user_graph
2,0,77,342,57,student,0.565217391,d,Student54,Student54,Student,user_graph
