id,name,asks,answers,posts,views,days,type,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23],grade_bucket,id,label,user_type,type_data
Student71,Student71,0,0,132,324,56,student,1,1,1,1,2,2,2,1,1,2,2,2,0.782608696,c,Student71,Student71,Student,user_graph
Guest1,,0,0,14,4,7,guest,,,,,,,,,,,,,,,,,,
Student14,Student14,0,0,0,0,0,student,1,0,0,0,0,1,1,1,1,2,1,,0.347826087,d,Student14,Student14,Student,user_graph
Student14,Student14,0,2,25,71,29,student,1,0,0,0,0,1,1,1,1,2,1,,0.347826087,d,Student14,Student14,Student,user_graph
Student92,Student92,2,0,17,106,26,student,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913,d,,,,
Guest2,,0,0,9,10,2,guest,,,,,,,,,,,,,,,,,,
Guest3,,0,0,3,3,4,guest,,,,,,,,,,,,,,,,,,
Student72,Student72,2,0,49,339,54,student,1,2,1,1,0,1,1,1,2,2,,2,0.608695652,d,Student72,Student72,Student,user_graph
Student96,Student96,0,0,44,133,45,student,1,1,1,2,2,1,1,1,2,2,2,2,0.782608696,c,,,,
Student83,Student83,2,0,73,322,71,student,1,1,1,2,1,1,2,1,1,1,1,1,0.608695652,d,Student83,Student83,Student,user_graph
Student13,Student13,4,0,202,156,49,student,2,2,2,2,1,2,2,1,2,,,,0.695652174,d,Student13,Student13,Student,user_graph
Teacher2,,1,51,1126,542,71,teacher,,,,,,,,,,,,,,,Teacher2,Teacher2,Teacher,user_graph
Student28,Student28,0,3,93,326,68,student,1,1,1,1,1,2,2,2,2,2,2,2,0.826086957,b,,,,
Guest4,,0,0,2,2,1,guest,,,,,,,,,,,,,,,,,,
Student25,Student25,1,0,19,330,41,student,1,1,2,2,1,1,2,1,1,1,2,2,0.739130435,c,,,,
Student55,Student55,5,1,215,209,59,student,2,2,2,1,1,2,2,1,1,1,1,1,0.739130435,c,Student55,Student55,Student,user_graph
Student76,Student76,2,0,63,225,32,student,1,2,2,2,2,2,2,2,2,2,1,1,0.913043478,a,Student76,Student76,Student,user_graph
Student39,Student39,2,1,32,189,56,student,2,2,1,1,1,2,2,1,2,,,,0.608695652,d,Student39,Student39,Student,user_graph
Student36,Student36,4,0,45,53,18,student,1,1,1,1,1,1,1,1,1,1,2,1,0.565217391,d,Student36,Student36,Student,user_graph
Student67,Student67,1,1,48,342,71,student,1,2,1,2,1,2,2,1,1,1,1,2,0.739130435,c,,,,
Student34,Student34,3,6,404,340,71,student,2,1,1,2,0,1,2,1,1,,,,0.47826087,d,Student34,Student34,Student,user_graph
Student6,Student6,1,2,143,344,72,student,2,2,2,1,1,1,1,1,1,1,1,2,0.695652174,d,Student6,Student6,Student,user_graph
Student1,Student1,5,0,130,346,66,student,1,2,2,1,1,1,1,1,1,1,1,2,0.652173913,d,Student1,Student1,Student,user_graph
