,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
0,gd6v7134AUa,i9d7o0z0z6x7ni,directed,post_graph,0,0,0,0,0,gd
1,gd6v7134AUa,i9d7o1adv0s7nn,directed,post_graph,0,0,0,0,0,gd
2,gd6v7134AUa,i9d7o1dyps97np,directed,post_graph,0,0,0,0,0,gd
3,gd6v7134AUa,i9d7o1giqfq7nr,directed,post_graph,0,0,0,0,0,gd
4,gd6v7134AUa,i9d7o1lco8l7nv,directed,post_graph,0,0,0,0,0,gd
1383,Missing68,ia20cqzjdz35q0,directed,post_graph,0,0,0,0,0,Missing
1600,User91,iabj57kltdgle,directed,post_graph,0,0,0,0,0,User
2046,Missing66,iaomdm92z007or,directed,post_graph,0,0,0,0,0,Missing
2057,User348,iapja98yo9n2f8,directed,post_graph,0,0,0,0,0,User
2169,Missing68,iau7jadsrcf225,directed,post_graph,0,0,0,0,0,Missing
2240,User90,iaw5t5a74uj67a,directed,post_graph,0,0,0,0,0,User
2342,User37,iaypkq0szz75a4,directed,post_graph,0,0,0,0,0,User
2403,Missing68,ib0awfxidpd3ba,directed,post_graph,0,0,0,0,0,Missing
2429,Missing68,ib14knvjhlf4l4,directed,post_graph,0,0,0,0,0,Missing
2493,Missing66,ib4ghddpm134v2,directed,post_graph,0,0,0,0,0,Missing
2733,User75,ibfiyen35fx6lb,directed,post_graph,0,0,0,0,0,User
2805,User156,ibiqnhyswol19d,directed,post_graph,0,0,0,0,0,User
2841,User45,ibk1uh51y1e782,directed,post_graph,0,0,0,0,0,User
2976,User90,ibrk8bgdg4k2y8,directed,post_graph,0,0,0,0,0,User
2994,Missing66,ibsmvd2mkqk3wg,directed,post_graph,0,0,0,0,0,Missing
3020,User74,ibt2cdf4bxii6,directed,post_graph,0,0,0,0,0,User
3044,Missing66,ibu2kaji6ay1hs,directed,post_graph,0,0,0,0,0,Missing
3108,Missing66,ibvnj9o1wqp1r6,directed,post_graph,0,0,0,0,0,Missing
3130,User178,ibwt80z6tze54t,directed,post_graph,0,0,0,0,0,User
3139,User178,ibxqoevwzxt1in,directed,post_graph,0,0,0,0,0,User
3227,User174,ic1xxa77fis6be,directed,post_graph,0,0,0,0,0,User
3232,Missing68,ic2qe9112jd3pz,directed,post_graph,0,0,0,0,0,Missing
3253,User70,ic3jwnthi525ec,directed,post_graph,0,0,0,0,0,User
3355,User367,ic7z26xyl6t38f,directed,post_graph,0,0,0,0,0,User
3357,User38,ic864b146pz7g9,directed,post_graph,0,0,0,0,0,User
3650,Missing68,icl9xp8g1hi1rr,directed,post_graph,0,0,0,0,0,Missing
3682,User75,icme07pnolj5p,directed,post_graph,0,0,0,0,0,User
3764,User242,ico8zariji46w3,directed,post_graph,0,0,0,0,0,User
