source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
User253,Missing68,directed,user_graph,2,0,0,0,2,User
User153,Missing68,directed,user_graph,2,0,0,0,2,User
User93,User250,directed,user_graph,2,0,0,0,2,User
Missing68,User156,directed,user_graph,2,0,0,0,2,Missing
User242,User156,directed,user_graph,2,0,0,0,2,User
User256,User348,directed,user_graph,2,0,0,0,2,User
User90,User348,directed,user_graph,2,0,0,0,2,User
User70,Missing68,directed,user_graph,2,0,0,0,2,User
User28,Missing68,directed,user_graph,2,0,0,0,2,User
User323,User217,directed,user_graph,2,0,0,0,2,User
Missing66,User242,directed,user_graph,2,0,0,0,2,Missing
User313,User242,directed,user_graph,2,0,0,0,2,User
Missing68,User320,directed,user_graph,2,0,0,0,2,Missing
User156,User320,directed,user_graph,2,0,0,0,2,User
Missing68,User222,directed,user_graph,2,0,0,0,2,Missing
User70,User222,directed,user_graph,2,0,0,0,2,User
User98,User320,directed,user_graph,2,0,0,0,2,User
Missing68,User320,directed,user_graph,2,0,0,0,2,Missing
User150,hzigfb5cvgr,directed,user_graph,2,0,0,0,2,User
User321,hzigfb5cvgr,directed,user_graph,2,0,0,0,2,User
Missing65,User307,directed,user_graph,2,0,0,0,2,Missing
Missing68,User307,directed,user_graph,2,0,0,0,2,Missing
Missing66,User242,directed,user_graph,2,0,0,0,2,Missing
User180,User242,directed,user_graph,2,0,0,0,2,User
User336,User336,directed,user_graph,2,0,0,0,2,User
User153,Missing68,directed,user_graph,2,0,0,0,2,User
Missing65,Missing68,directed,user_graph,2,0,0,0,2,Missing
User348,User348,directed,user_graph,2,0,0,0,2,User
User93,Missing66,directed,user_graph,2,0,0,0,2,User
User339,Missing66,directed,user_graph,2,0,0,0,2,User
Missing66,User90,directed,user_graph,2,0,0,0,2,Missing
Missing68,User90,directed,user_graph,2,0,0,0,2,Missing
User166,User321,directed,user_graph,2,0,0,0,2,User
User57,User57,directed,user_graph,2,0,0,0,2,User
User336,User57,directed,user_graph,2,0,0,0,2,User
User34,User293,directed,user_graph,2,0,0,0,2,User
User208,User293,directed,user_graph,2,0,0,0,2,User
hvdb7zxej2ef5,Missing66,directed,user_graph,2,0,0,0,2,hvdb
hvdb7zxej2ef5,Missing66,directed,user_graph,2,0,0,0,2,hvdb
i4il5dezsh25c,i4jx25qj4hh7k5,directed,user_graph,2,0,0,0,2,
i4il5dezsh25c,User98,directed,user_graph,2,0,0,0,2,
User166,User153,directed,user_graph,2,0,0,0,2,User
User182,User153,directed,user_graph,2,0,0,0,2,User
User80,User135,directed,user_graph,2,0,0,0,2,User
User131,User135,directed,user_graph,2,0,0,0,2,User
Missing67,User224,directed,user_graph,2,0,0,0,2,Missing
User224,User224,directed,user_graph,2,0,0,0,2,User
Missing85,User81,directed,user_graph,2,0,0,0,2,Missing
Missing66,User81,directed,user_graph,2,0,0,0,2,Missing
User174,User174,directed,user_graph,2,0,0,0,2,User
Missing68,User174,directed,user_graph,2,0,0,0,2,Missing
User193,Missing66,directed,user_graph,2,0,0,0,2,User
User193,Missing66,directed,user_graph,2,0,0,0,2,User
User61,User348,directed,user_graph,2,0,0,0,2,User
User321,User348,directed,user_graph,2,0,0,0,2,User
User36,User160,directed,user_graph,2,0,0,1,3,User
hyurapz9lkc,User160,directed,user_graph,2,0,0,0,2,hyurapz
User188,User245,directed,user_graph,2,0,0,0,2,User
User166,User245,directed,user_graph,2,0,0,0,2,User
i4jx25qj4hh7k5,User135,directed,user_graph,2,0,0,0,2,
User15,User135,directed,user_graph,2,0,0,0,2,User
User150,User55,directed,user_graph,2,0,0,0,2,User
User371,User55,directed,user_graph,2,0,0,0,2,User
User321,Missing68,directed,user_graph,2,0,0,0,2,User
User321,Missing68,directed,user_graph,2,0,0,0,2,User
User15,User15,directed,user_graph,2,0,0,0,2,User
User224,User15,directed,user_graph,2,0,0,0,2,User
User292,i4kp810d0NZ,directed,user_graph,2,0,0,0,2,User
User348,User224,directed,user_graph,2,0,0,0,2,User
User205,User224,directed,user_graph,2,0,0,0,2,User
User150,User321,directed,user_graph,2,0,0,0,2,User
Missing68,User250,directed,user_graph,2,0,0,0,2,Missing
Missing68,User250,directed,user_graph,2,0,0,0,2,Missing
User304,User348,directed,user_graph,2,0,0,0,2,User
User336,User348,directed,user_graph,2,0,0,0,2,User
