,id,label,user_type,type_data
475,gd6v7134AUa,gd6v7134AUa,gd,post_graph
64,hqa65gyyl9s3he,hqa65gyyl9s3he,hqa,post_graph
1213,huof6l4oauohw,huof6l4oauohw,huof,post_graph
3,hv8z1u99dsj6oc,hv8z1u99dsj6oc,hv,post_graph
729,hv9i0iyjjmr7gt,hv9i0iyjjmr7gt,hv,post_graph
1233,hv9ile47wap2ny,hv9ile47wap2ny,hv,post_graph
285,hvdb7zxej2ef5,hvdb7zxej2ef5,hvdb,post_graph
1163,hve4k97sat54qs,hve4k97sat54qs,hve,post_graph
696,hvebmkoquig,hvebmkoquig,hvebmkoquig,post_graph
457,hyrw9fszl3h2t7,hyrw9fszl3h2t7,hyrw,post_graph
465,hyurapz9lkc,hyurapz9lkc,hyurapz,post_graph
401,hyxsfecmhg82oe,hyxsfecmhg82oe,hyxsfecmhg,post_graph
1012,hz0lchymrf7,hz0lchymrf7,hz,post_graph
231,hzigfb5cvgr,hzigfb5cvgr,hzigfb,post_graph
369,i18w63x9wyp1tj,i18w63x9wyp1tj,,post_graph
1058,i4il5dezsh25c,i4il5dezsh25c,,post_graph
469,i4j6wy60cma6wm,i4j6wy60cma6wm,,post_graph
877,i4j6x4ubmg671b,i4j6x4ubmg671b,,post_graph
362,i4ja9iybmi732u,i4ja9iybmi732u,,post_graph
757,i4jbu0c4ukl3sf,i4jbu0c4ukl3sf,,post_graph
769,i4jg0hk8NaM,i4jg0hk8NaM,,post_graph
699,i4jx25qj4hh7k5,i4jx25qj4hh7k5,,post_graph
458,i4kp810d0NZ,i4kp810d0NZ,,post_graph
193,i4kxfjow4tg7j2,i4kxfjow4tg7j2,,post_graph
966,i4kxfp0oe4u7p1,i4kxfp0oe4u7p1,,post_graph
1149,i4t9268xuvn6dh,i4t9268xuvn6dh,,post_graph
123,i9User281f6ny0g784,Found some Python code,,post_graph
506,i9d7o0z0z6x7ni,Welcome to Piazza!,,post_graph
733,i9d7o1adv0s7nn,Tips & Tricks for a successful class,,post_graph
351,i9d7o1dyps97np,Get familiar with Piazza,,post_graph
1242,i9d7o1giqfq7nr,Introduce Piazza to your students,,post_graph
349,i9d7o1lco8l7nv,Search for Teammates!,,post_graph
43,i9d8a6sba551tu,,,post_graph
1090,i9hxfb8jy3o4am,,,post_graph
751,i9hy7k2gz531hb,Class Intros,,post_graph
1240,i9j7u1sd9ps4sa,Textbook,,post_graph
1144,i9j9g35jae0tn,,,post_graph
1,i9ja0ax58tt1co,,,post_graph
888,i9ja0iogml84xs,,,post_graph
688,i9ja0pqec942l2,,,post_graph
1210,i9ja1465nuj57z,,,post_graph
304,i9ja1bjy1uz2uo,,,post_graph
781,i9jazgdpno334i,,,post_graph
239,i9jehpvjnwg5xr,Project code submission mode,,post_graph
374,i9jeycowbj82ii,Project Code,,post_graph
82,i9juxbw98eg4k1,,,post_graph
53,i9jvz17x9om4bi,,,post_graph
1152,i9jw2wzunrn51w,Real Time Collaboration,,post_graph
40,i9jxot4r4xa1yv,Regarding Mid Term,,post_graph
1230,i9k62sv8wwj49y,,,post_graph
416,i9khyraxz1h1f2,,,post_graph
15,i9kpjhoijykl9,Lecture Notes,,post_graph
514,i9kpxn0p7to6xx,Are there lecture transcripts provided?,,post_graph
591,i9lbp99cvi475o,In the pre course survey  the &#34;programming language experience&#34; question should be mulitple choice,,post_graph
842,i9llvpgypx671l,Is there particular format of report for assignment(s) that we need to follow?,,post_graph
1151,i9lnta4uis17pr,Metacognition and homo sapiens (sapiens),,post_graph
178,i9m5v3qvpnz7pk,Python vs. Java - advantages and disadvantages,,post_graph
1131,i9m7hvraj6h6wo,Recommended Viewing: Talk on the Development of KBAI,,post_graph
130,i9mvom3j2fyvm,bug in ProblemSet.py line 67,,post_graph
191,i9mzcwkiigbok,I am eager to learn but some tips on essay part,,post_graph
16,i9n0l4f3lnx2zg,,,post_graph
1222,i9n6qnhho9qnk,,,post_graph
1171,i9n6vru1bze3pa,Post the introduction in the wrong selection,,post_graph
778,i9n6xqtre1o36d,,,post_graph
1192,i9n8bbqbmzy7g1,Project 1 question: Attributes Issue (Python),,post_graph
638,i9nbff4g9gp3pp,,,post_graph
1021,i9nkv5c5j63nl,Clarification,,post_graph
280,i9o3d9pknpg24r,Python json library,,post_graph
868,i9o679e9j9g2kk,"Image Processing, Feature Detection",,post_graph
1045,i9o7lpsma3c4m0,,,post_graph
1148,i9octcuqspu14q,Clarification sought for Agent.Solve,,post_graph
105,i9og7iw35jisb,Why no OpenCV or other external libraries?,,post_graph
