,uid,asks,answers,posts,views,days,type,Student ID,Assignment 1 [40],Assignment 2 [40],Project 1 [100],Assignment 3 [40],Assignment 4 [40],Project 2 [100],Assignment 5 [40],Assignment 6 [40],Project 3 [100],final_grade,Peer Feedback [15],Course Grade,grade_bucket,id,label,user_type,type_data
0,User340,0,0,0,20,3,student,User340,0,27,78,0,26,70,0,25,66,0,10,46.1,d,User340,User340,User,user_graph
1,User340,1,0,2,26,6,student,User340,0,27,78,0,26,70,0,25,66,0,10,46.1,d,User340,User340,User,user_graph
2,Missing9,0,0,8,116,16,student,,,,,,,,,,,,,,,Missing9,Missing9,Missing,user_graph
6,User265,2,0,12,633,64,student,User265,29,0,75,35,0,62,0,33,65,80,11,59.54,c,User265,User265,User,user_graph
20,User281,4,0,21,349,74,student,User281,40,0,91,36,0,87,33,0,91,100,14,75.11,a,User281,User281,User,user_graph
23,User116,1,0,21,633,84,student,User116,36,0,80,22,0,79,0,16,80,94,15,64.42,b,User116,User116,User,user_graph
27,User180,1,2,33,592,68,student,User180,0,28,67,0,27,69,0,27,63,93,10,58.62,c,User180,User180,User,user_graph
28,User151,1,0,5,65,17,student,,,,,,,,,,,,,,,User151,User151,User,user_graph
30,User217,0,0,0,4,2,student,User217,0,30,79,0,29,71,0,25,66,96,15,62.74,b,User217,User217,User,user_graph
31,User217,8,0,30,328,68,student,User217,0,30,79,0,29,71,0,25,66,96,15,62.74,b,User217,User217,User,user_graph
32,User215,7,3,30,246,57,student,User215,30,0,60,28,0,61,26,0,63,85,11,55.57,c,User215,User215,User,user_graph
33,User319,2,1,7,24,30,student,User319,31,0,81,33,0,49,32,0,67,92,15,61.06,b,User319,User319,User,user_graph
34,User225,1,0,11,611,116,student,User225,0,33,91,0,28,84,0,31,66,93,13,67.02,b,User225,User225,User,user_graph
38,User348,16,2,98,626,54,student,User348,0,37,87,0,19,75,0,37,64,99,14,65.95,b,User348,User348,User,user_graph
42,User276,1,0,48,224,76,student,User276,33,0,73,0,30,49,0,30,70,96,15,60.45,b,User276,User276,User,user_graph
45,User45,2,0,13,110,41,student,User45,30,0,66,0,29,55,0,33,59,97,15,58.62,c,User45,User45,User,user_graph
47,User148,2,1,6,23,14,student,User148,27,0,89,37,0,80,33,0,65,99,15,67.93,b,User148,User148,User,user_graph
50,User104,2,0,11,163,24,student,User104,19,0,95,29,0,68,32,0,71,96,15,64.88,b,User104,User104,User,user_graph
53,User52,2,0,10,297,53,student,User52,0,35,67,25,0,43,39,0,32,96,15,53.74,c,User52,User52,User,user_graph
54,User350,2,0,8,124,11,student,,,,,,,,,,,,,,,User350,User350,User,user_graph
55,User376,1,0,2,27,8,student,User376,0,29,0,0,0,0,0,0,0,0,9,5.8,d,User376,User376,User,user_graph
57,User253,7,1,19,271,43,student,User253,0,36,72,0,22,24,0,30,58,94,12,53.12,c,User253,User253,User,user_graph
60,User26,3,1,14,90,29,student,User26,31,0,65,0,17,29,26,0,26,36,13,37.09,d,User26,User26,User,user_graph
65,User361,1,0,9,191,31,student,User361,28,0,76,0,13,77,0,0,50,0,15,39.54,d,User361,User361,User,user_graph
66,Missing66,0,147,551,958,98,student,,,,,,,,,,,,,,,Missing66,Missing66,Missing,user_graph
67,User312,7,1,24,151,30,student,User312,0,32,80,0,38,66,0,26,57,90,15,61.67,b,User312,User312,User,user_graph
70,Missing67,0,2,32,975,131,student,,,,,,,,,,,,,,,Missing67,Missing67,Missing,user_graph
71,User90,2,2,48,192,63,student,User90,40,0,59,40,0,53,40,0,44,99,16,59.69,c,User90,User90,User,user_graph
74,User283,1,0,2,99,14,student,User283,21,0,62,0,32,40,0,26,46,100,13,51.9,c,User283,User283,User,user_graph
