,uid,asks,answers,posts,views,days,type,Student ID,Student Name,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23],grade_bucket
0,Student71,0,0,132,324,56,student,Student71,Student71,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.782608696,c
1,Guest1,0,0,14,4,7,guest,,,,,,,,,,,,,,,,
2,Student14,0,0,0,0,0,student,Student14,Student14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,0.347826087,d
3,Student14,0,2,25,71,29,student,Student14,Student14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,0.347826087,d
4,Student92,2,0,17,106,26,student,Student92,Student92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52173913,d
5,Guest2,0,0,9,10,2,guest,,,,,,,,,,,,,,,,
6,Guest3,0,0,3,3,4,guest,,,,,,,,,,,,,,,,
7,Student72,2,0,49,339,54,student,Student72,Student72,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,,2.0,0.608695652,d
8,Student96,0,0,44,133,45,student,Student96,Student96,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.782608696,c
9,Student83,2,0,73,322,71,student,Student83,Student83,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.608695652,d
10,Student13,4,0,202,156,49,student,Student13,Student13,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,0.695652174,d
11,Teacher2,1,51,1126,542,71,teacher,,,,,,,,,,,,,,,,
12,Student28,0,3,93,326,68,student,Student28,Student28,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.826086957,b
13,Guest4,0,0,2,2,1,guest,,,,,,,,,,,,,,,,
14,Student25,1,0,19,330,41,student,Student25,Student25,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.739130435,c
15,Student55,5,1,215,209,59,student,Student55,Student55,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.739130435,c
16,Student76,2,0,63,225,32,student,Student76,Student76,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.913043478,a
17,Student39,2,1,32,189,56,student,Student39,Student39,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,0.608695652,d
18,Student36,4,0,45,53,18,student,Student36,Student36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.565217391,d
19,Student67,1,1,48,342,71,student,Student67,Student67,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.739130435,c
20,Student34,3,6,404,340,71,student,Student34,Student34,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,0.47826087,d
21,Student6,1,2,143,344,72,student,Student6,Student6,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.695652174,d
22,Student1,5,0,130,346,66,student,Student1,Student1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.652173913,d
23,Student17,3,2,74,332,65,student,Student17,Student17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52173913,d
24,Teacher1,0,0,177,176,40,teacher,,,,,,,,,,,,,,,,
25,Student74,2,1,43,110,63,student,Student74,Student74,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.869565217,b
26,Student45,1,3,88,298,64,student,Student45,Student45,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.826086957,b
27,Student61,1,0,102,341,55,student,Student61,Student61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52173913,d
28,Student24,6,1,151,341,72,student,Student24,Student24,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.695652174,d
29,Guest5,0,0,8,6,3,guest,,,,,,,,,,,,,,,,
30,Student91,0,0,59,218,69,student,Student91,Student91,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,0.565217391,d
31,Student26,1,1,140,342,70,student,Student26,Student26,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.826086957,b
32,Student49,0,0,5,26,19,student,Student49,Student49,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.608695652,d
33,Student12,0,0,9,44,32,student,Student12,Student12,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.826086957,b
34,Student12,0,0,0,46,5,student,Student12,Student12,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.826086957,b
35,Student73,2,0,86,331,35,student,Student73,Student73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.565217391,d
36,Guest6,0,0,0,2,3,guest,,,,,,,,,,,,,,,,
37,Teacher5,0,2,255,172,54,teacher,,,,,,,,,,,,,,,,
38,Guest7,0,0,37,19,13,guest,,,,,,,,,,,,,,,,
