Grader	Recipient	Score	Comment	Time Started Giving Feedback	Time Spent Giving Feedback	Meta Feedback Score	Meta Feedback Comment
Student60	Student2	1	"Very interesting project. I liked the idea of collecting reviews on the fly. Which such interfaces can be useful, it can loose its value over time. Do you plan to introduce some reward points. or stars, or army grade of user to keep them motivated? I look forward to see your final product."	10/25/2015 13:04	349		
Student60	Student56	1	"Interesting project and good progress thus far. As I was rea[lastname]g through the introduction, I was realizing how vast this could be. Word length seems to be a fair heuristics, though I might argue that if it is not covering the important point you might want to extend the answer."	10/25/2015 18:42	1255		
Student60	Student4	1	Your project is very interesting and it would be for sure a helpful platform for students. I believe you are limited to just the basic concepts of programming. Your progress also looks fine to me. All the best for your project.	10/25/2015 19:03	1470		
Student60	Misc3	1	Your project is interesting and your progress too looks good. I agree with you that it would be challenging to tune Physics to a realistic level. I look forward for your project. All the best.	10/25/2015 19:28	1106		
Student40	Student21	2	"Very nice document format (the font makes it feel more like one of the product brochures I typically read off of a vendor's site, which means it looks professional from my point of view :-). It seems like you guys have made a ton of progress...really the primary difficulty seems in being able to collect all of the needed data to integrate into the site, which is honestly the biggest stumbling block for a project like this with so many different poten[firstname]l data sources. I think the products you mentioned for testing and API documentation are currently the best options out there (Postman is really good and I think I see that apiDoc project get used/recommended a lot online). I think the only item I may have wished to see in greater detail would be the actual site since from what I read above it sounds like it is live and online so it would have been kind of neat to check out as I was writing this. Seems like you guys are on track though! Good luck with the next phase :-)."	10/25/2015 13:10	233		
Student40	Student42	1	"Hi Team, I'm guessing the decision making process behind which Framework you wanted to use (amongst all of those extra little decisions that have to be made at the beginning of a project) probably took the longest (that was certainly the case for me). I liked reviewing the mockup images, that definitely seems where most of the work will be occurring once the overall backend basics have been setup (fin[lastname]g images by itself may be a challenge). On the presentation side, I'm not sure if it will be helpful or not, but the following presentation oriented HTML5 libraries might be useful: https://github.com/hakimel/reveal.js https://github.com/impress/impress.js http://imakewebthings.com/deck.js/ (I mainly mention these because they may make it easier to arrange things as they appear in your mockup images). I feel you are in a similar boat as myself...some of the basic foundational decisions and work has occurred, but now a lot of the more in-depth stuff comes next so I wish you luck in the next stages!"	10/25/2015 13:14	2312		
Student40	Student20	1	"I think the part of this project I'm most interested about is the Guacamole part (not just because it's delicious, but also because it's HTML5 based :-). Overall it sounds like your team has put in a lot of work setting up the base parts of the application, but with all of the moving parts mentioned above, I'm definitely curious to see what steps would be needed, let's say for my own organization, if we wanted to implement this system (I know documentation will come later, I'm just curious how straightforward the implementation process might be at the end once everything is completed). I don't know if you guys are working in a private repo, but I think having a link to the repo might have been the only thing I missed seeing above...I would have liked to go and check out some of the Angular and NodeJS, just out of personal interest from my end (I was spen[lastname]g some time working through the tutorials for KnockoutJS the other week, in the hopes I might use it for my project, but I ended up putting further learning for that on hold temporarily...but I definitely liked what I saw, and I know that Angular provides similar benefits). Good luck in the next stages of the project!"	10/25/2015 13:52	1046		
Student40	Student67	1	"I think since you first mentioned the Ionic framework a few weeks back it looked pretty interesting so I took another look at it again today. It took me a few moments to get to your Repo page based off of the screenshot you provided above (https://github.com/[firstname][lastname]/SparkEd) so I was checking it out from there and then tried taking a look at the Ionic Creator area, but since that requires an account and stuff I went looking to see how I might be able to run the project locally since I have npm installed. So I downloaded your code and extracted it then I ran the npm line mentioned on the Ionic site: npm install -g cordova ionic And once that finished installing I typed ""ionic help"" because I can't build the ios or android versions but I wanted to try out the web interface for the app. After some review, it appeared that ""ionic serve"" was what I wanted and that allowed me to view the app in my browser. It's pretty neat! For the notifications I'm curious if you're taking advantage of the new ""Push"" functionality mentioned on the Ionic site, or if you're making use of an SMS service such as Twilio, or Plivo? Overall, it seems like the Ionic Creator system is pretty darn helpful so it might be something for me to look into eventually. Good luck on the next stages of your project!"	10/25/2015 14:10	1994		
Student82	Student86	2	Great task list! It's very detailed and organized. I am unclear on what was scaled back. Is it just because [firstname] may or may not be able to teach using the same curriculum? I don't think that should be a huge so long as the remaining three members still are.	10/25/2015 13:18	351		
Student82	Student90	1	"Holons is a good find! I'm working on automated essay evaluation, and I envisioned each domain knowledge module being self-contained. I think a little more detail in the task list would be good. Instead of programming, to specifically state what will be worked on, but other than that everything looks good and I can't wait to see the finished project."	10/25/2015 13:24	312		
Student82	Student63	2	"It might be too late, but you should check out Panda3d (http://www.panda3d.org/). It has a browser extension for it's game engine and it might not take too much to port your existing Python code over. It's my favorite game engine because it is easy to pick up and learn, and yet powerful enough to produce great looking games. Based on the screenshots provided, I think it looks good for the education level it's being designed for (and certainly better than I could have come up with)!"	10/25/2015 13:30	224		
Student82	Student70	1	"The mock-ups look good! I would have enjoyed seeing an instance of it running, even if it was just allowed me to register and login."	10/25/2015 13:37	156		
Student88	Student33	1	"Sounds like you are making excellent progress towards your goals and the interviews are going well. Before you conduct the interviews are you sen[lastname]g out a FAQ or background information to help align the conversation? You mention how you are fin[lastname]g a lack of awareness of the lack of CS workers and also confirming the fact that CS courses are not being taught in these schools. What is your final artifact going to look like? Are you proposing how to fix this? One other interesting bit that I strongly agree with, is the lack of parental involvement and encouragement to students. School is pushed as this thing to go do by parents, but parents do not actively participate with their children's learning. Is there something you are going to state or suggest to fix this?"	10/25/2015 13:07	2277	7	
Student88	Student79	1	"First I LOVE Max und Moritz. In German in High School we [lastname]slated and read that and the original Grimms' fairy tales. This is probably the first time in a long time that I have seen any reference to Max und Moritz :) Anyway.... How well are the [lastname]slations coming back? For example, in your example I see ""alte"" align with ""anciently"" but not knowing the text, I may have expected ""old"". Has this even been a problem? Ideas on a solution? Looking good so far!"	10/25/2015 13:07	2730		
Student88	Student12	1	"I seem to always get your team's paper for peer review :) You mentioned graphs for the front end? What are you trying to do there? Have you looked into d3.js? That is what I am using to construct some maps for my project. re load generation: can't help here, sorry re data mining: I would suggest focusing on a few specific places, like Google+ community. That probably has a pretty good list of things that you should consider for your first round. re measuring effectiveness: I think posting it to Google+ and see how many people use it, recor[lastname]g the number of hits to the site, etc. would be very helpful in measuring its effectiveness. For example, if you get 1000 hits to the main page in the first week and then none after that, maybe it didn't work so well, but if you get a bunch and then still get a consistent hit count, then you probably are doing something right :) Again your website will be very, very valuable in reviewing courses and understan[lastname]g what could be improved, how students need to be prepared and overall status of the program."	10/25/2015 13:07	3112		
Student88	Student32	1	Looking great! Looks like you have made some great progress and are well on your way. I assume that the API is still TODO given rows are not in green that are complete? I didn't see any specific questions so best of luck to you all!	10/25/2015 13:07	3821		
Student39	Student84	1	I have no idea what's actually going on within the project other than some tasks. Would have been nice to see what the project is. See what the sample data was or objects.	10/25/2015 13:49	275		
Student39	Student68	1	"Excellent progress, and good use of the table to represent done deliverables. It's a little difficult to give meaningful feedback when I am not quite sure what the project or intended goal is."	10/27/2015 9:17	167		
Student39	Student22	1	"Posted in the other Report as I got it twice too: Excellent progress, and good use of the table to represent done deliverables. It's a little difficult to give meaningful feedback when I am not quite sure what the project or intended goal is."	10/27/2015 9:17	294		
Student39	Student47	1	"I think you are on track, even with a revised schedule. And you should look for the independent variables between the conclusions that differ. For example, high vs middle school. High income vs low income. STEM vs Liberal Arts. You might be able to find what makes it effective and what makes it ineffective."	10/27/2015 9:17	425		
Student6	Student45	1	"Looks like you are well on your way. It's the DB guy in me, I am curious as to 1. why for some of your tables you are going with a varchar(10) as the id? 2. why is there a userid on the course table? Is that for the person that created the course? 3. I can understand the course/skill xref, but I'm not clear as to what the resource table does. Looking forward to seeing/using the end product."	10/25/2015 15:20	645		
